election#leader# of candidates# of constituency votes#% of constituency vote
1958#nobusuke kishi#413#23840 , 170#59.0%
1960#hayato ikeda#399#22950 , 404#58.1%
1963#hayato ikeda#359#22972 , 892#56.0%
1967#eisaku satō#342#22447 , 838#48.9%
1969#eisaku satō#328#22381 , 570#47.6%
1972#tanaka kakuei#339#24563 , 199#46.9%
1976#takeo miki#320#23653 , 626#41.8%
1979#masayoshi ōhira#322#24084 , 130#44.59%
1980#masayoshi ōhira#310#28262 , 442#47.88%
1983#yasuhiro nakasone#339#25982 , 785#45.76%
1986#yasuhiro nakasone#322#29875 , 501#49.42%
1990#toshiki kaifu#338#30315 , 417#46.14%
1993#kiichi miyazawa#285#22999 , 646#36.62%
1996#ryutaro hashimoto#355#21836 , 096#38.63%
2000#yoshirō mori#337#24945 , 806#40.97%
2003#junichiro koizumi#336#26089 , 326#43.85%
2005#junichiro koizumi#346#32518 , 389#47.80%
2009#tarō asō#326#27301 , 982#38.68%
2012#shinzō abe#337#25643 , 309#43.01%
