date#three#four#five#seven
7 june 1660#vacant#vacant#vacant#vacant
8 june 1660#vacant#vacant#vacant#vacant
11 june 1660#edward bowman#francis bowman#nathaniel darrell#vacant
14 june 1660#edward bowman#francis bowman#nathaniel darrell#thomas duppa
20 june 1660#edward bowman#francis bowman#nathaniel darrell#thomas duppa
29 january 1661#edward bowman#francis bowman#robert barcroft#thomas duppa
11 october 1662#edward bowman#francis bowman#robert barcroft#vacant
29 july 1664#edward bowman#francis bowman#henry barcroft#vacant
16 august 1664#edward bowman#francis bowman#henry barcroft#ralph whistler
10 april 1665#edward bowman#francis bowman#henry barcroft#ralph whistler
19 may 1665#edward bowman#francis bowman#thomas bambriggs#ralph whistler
20 august 1666#edward bowman#francis bowman#peter watson#ralph whistler
19 april 1669#edward bowman#francis bowman#peter watson#ralph whistler
16 december 1670#edward bowman#francis bowman#peter watson#ralph whistler
18 may 1672#edward bowman#francis bowman#peter watson#ralph whistler
29 september 1673#edward bowman#francis bowman#peter watson#ralph whistler
4 november 1673#edward bowman#francis bowman#humphrey graves#ralph whistler
1 june 1674#edward bowman#jeremiah bubb#humphrey graves#ralph whistler
3 march 1675#edward bowman#jeremiah bubb#humphrey graves#ralph whistler
16 december 1676#edward bowman#jeremiah bubb#john packer#ralph whistler
2 august 1677#edward bowman#jeremiah bubb#john packer#ralph whistler
16 september 1677#edward bowman#jeremiah bubb#john packer#ralph whistler
1 september 1679#charles richards#jeremiah bubb#john packer#ralph whistler
23 april 1681#charles richards#jeremiah bubb#john packer#ralph whistler
20 july 1682#charles richards#jeremiah bubb#john packer#ralph whistler
19 september 1683#charles richards#jeremiah bubb#john packer#ralph whistler
14 december 1683#charles richards#jeremiah bubb#john packer#ralph whistler
25 january 1684#charles richards#jeremiah bubb#john packer#ralph whistler
6 january 1685#charles richards#jeremiah bubb#robert abbott#ralph whistler
6 february 1685#vacant#jeremiah bubb#robert abbott#vacant
18 may 1685#vacant#jeremiah bubb#robert abbott#vacant
12 may 1686#james austin#jeremiah bubb#robert abbott#vacant
24 may 1686#james austin#jeremiah bubb#robert abbott#vacant
30 may 1686#james austin#jeremiah bubb#robert abbott#joseph ronkhe
31 may 1686#james austin#jeremiah bubb#robert abbott#joseph ronkhe
27 december 1686#james austin#jeremiah bubb#hoyle walsh#joseph ronkhe
20 march 1687#james austin#jeremiah bubb#john marshall#joseph ronkhe
3 december 1687#james meyrick#jeremiah bubb#thomas wyvill#joseph ronkhe
7 july 1688#james meyrick#jeremiah bubb#thomas wyvill#joseph ronkhe
11 december 1688#james meyrick#jeremiah bubb#vacant#vacant
20 february 1689#james meyrick#jeremiah bubb#henry coling#vacant
7 march 1689#james meyrick#jeremiah bubb#henry coling#vacant
13 march 1689#james meyrick#alexander griffith#henry coling#vacant
2 april 1689#james meyrick#alexander griffith#henry coling#william smith
18 june 1689#james meyrick#alexander griffith#henry coling#william smith
29 november 1690#john ward#alexander griffith#henry coling#william smith
20 march 1691#john ward#alexander griffith#henry coling#william smith
6 april 1691#john ward#william prewett#henry coling#william smith
27 february 1692#john ward#william prewett#henry coling#william smith
2 march 1692#john ward#william prewett#henry coling#william smith
3 march 1692#john ward#william prewett#henry coling#william smith
20 august 1692#john ward#william prewett#richard ellis#william smith
13 july 1693#john ward#william prewett#richard ellis#nicholas king
5 november 1693#thomas earle#william prewett#richard ellis#nicholas king
10 december 1694#thomas earle#william prewett#alexander pyle#nicholas king
18 march 1695#thomas earle#william prewett#alexander pyle#nicholas king
25 november 1695#thomas earle#william prewett#alexander pyle#nicholas king
6 november 1696#thomas earle#william prewett#alexander pyle#jeremy bird
3 november 1697#thomas earle#william prewett#alexander pyle#jeremy bird
14 july 1698#tobiah humphreys#william prewett#alexander pyle#jeremy bird
12 february 1699#tobiah humphreys#robert barry#alexander pyle#jeremy bird
29 november 1699#tobiah humphreys#robert barry#alexander pyle#jeremy bird
3 may 1700#tobiah humphreys#robert barry#marmaduke beling#jeremy bird
16 june 1700#tobiah humphreys#john farey#marmaduke beling#jeremy bird
9 july 1702#tobiah humphreys#charles bressey#henry gardie#jeremy bird
20 december 1706#tobiah humphreys#charles bressey#henry gardie#jeremy bird
13 june 1707#tobiah humphreys#charles bressey#henry gardie#thomas hutton
7 june 1710#tobiah humphreys#charles bressey#henry gardie#thomas hutton
26 february 1711#tobiah humphreys#charles bressey#henry gardie#thomas hutton
23 june 1714#james ede#charles bressey#henry gardie#thomas hutton
