finishing position#points awarded (platinum)#points awarded (gold)#points awarded (silver)#points awarded (satellite)
1st#250#150#100#50
2nd#200#120#80#40
3rd#175#105#70#35
4th#150#90#60#30
5th#125#75#50#25
6th#120#72#48#24
7th#115#69#46#23
8th#110#66#44#22
9th#105#63#42#21
10th#100#60#40#20
11th - 12th#75#45#30#15
13th - 14th#70#42#28#14
15th - 16th#65#39#26#13
17th - 18th#60#36#24#12
19th - 20th#55#33#22#11
21st - 25th#40#24#16#8
26th - 30th#30#18#12#6
31st - 35th#20#12#8#4
36th - 40th#15#9#6#3
41st - 45th#10#6#4#2
