rank#rider#country#winning span#motogp / 500cc#350cc#moto2 / 250cc#moto3 / 125cc#80cc / 50cc#total
1#giacomo agostini #italy#1966–1975#8#7#0#0#0#15
2#ángel nieto #spain#1969–1984#0#0#0#7#6#13
3#valentino rossi #italy#1997–2009#7#0#1#1#0#9
3#mike hailwood #united kingdom#1961–1967#4#2#3#0#0#9
3#carlo ubbiali #italy#1951–1960#0#0#3#6#0#9
6#john surtees #united kingdom#1956–1960#4#3#0#0#0#7
6#phil read #united kingdom#1964–1974#2#0#4#1#0#7
8#geoff duke #united kingdom#1951–1955#4#2#0#0#0#6
8#jim redman #rhodesia#1962–1965#0#4#2#0#0#6
10#mick doohan #australia#1994–1998#5#0#0#0#0#5
10#anton mang #germany#1980–1987#0#2#3#0#0#5
12#eddie lawson #united states#1984–1989#4#0#0#0#0#4
12#jorge lorenzo #spain#2006–2012#2#0#2#0#0#4
12#kork ballington #south africa#1978–1979#0#2#2#0#0#4
12#walter villa #italy#1974–1976#0#1#3#0#0#4
12#max biaggi #italy#1994–1997#0#0#4#0#0#4
12#hugh anderson #new zealand#1963–1965#0#0#0#2#2#4
12#jorge martínez #spain#1986–1988#0#0#0#1#3#4
12#stefan dörflinger #switzerland#1982–1985#0#0#0#0#4#4
20#kenny roberts #united states#1978–1980#3#0#0#0#0#3
20#wayne rainey #united states#1990–1992#3#0#0#0#0#3
20#freddie spencer #united states#1983–1985#2#0#1#0#0#3
20#bruno ruffo #italy#1949–1951#0#0#2#1#0#3
20#werner haas #germany#1953–1954#0#0#2#1#0#3
20#luca cadalora #italy#1986–1992#0#0#2#1#0#3
20#dani pedrosa #spain#2003–2005#0#0#2#1#0#3
20#loris capirossi #italy#1990–1998#0#0#1#2#0#3
20#luigi taveri #switzerland#1962–1966#0#0#0#3#0#3
20#pier paolo bianchi #italy#1976–1980#0#0#0#3#0#3
20#hans georg anscheidt #germany#1966–1968#0#0#0#0#3#3
20#eugenio lazzarini #italy#1978–1980#0#0#0#1#2#3
32#umberto masetti #italy#1950–1952#2#0#0#0#0#2
32#barry sheene #united kingdom#1976–1977#2#0#0#0#0#2
32#casey stoner #australia#2007–2011#2#0#0#0#0#2
32#gary hocking #rhodesia#1961#1#1#0#0#0#2
32#àlex crivillé #spain#1989–1999#1#0#0#1#0#2
32#bill lomas #united kingdom#1955–1956#0#2#0#0#0#2
32#fergus anderson #united kingdom#1953–1954#0#2#0#0#0#2
32#carlos lavado #venezuela#1983–1986#0#0#2#0#0#2
32#sito pons #spain#1988–1989#0#0#2#0#0#2
32#cecil sandford #united kingdom#1952–1957#0#0#1#1#0#2
32#tarquinio provini #italy#1957–1958#0#0#1#1#0#2
32#dieter braun #germany#1970–1973#0#0#1#1#0#2
32#manuel poggiali #san marino#2001–2003#0#0#1#1#0#2
32#marc márquez #spain#2010 - 2012#0#0#1#1#0#2
32#kent andersson #sweden#1973–1974#0#0#0#2#0#2
32#fausto gresini #italy#1985–1987#0#0#0#2#0#2
32#kazuto sakata #japan#1994–1998#0#0#0#2#0#2
32#haruchika aoki #japan#1995–1996#0#0#0#2#0#2
32#jan de vries #netherlands#1971–1973#0#0#0#0#2#2
32#ricardo tormo #spain#1978–1981#0#0#0#0#2#2
51#leslie graham #united kingdom#1949#1#0#0#0#0#1
51#libero liberati #italy#1957#1#0#0#0#0#1
51#marco lucchinelli #italy#1981#1#0#0#0#0#1
51#franco uncini #italy#1982#1#0#0#0#0#1
51#wayne gardner #australia#1987#1#0#0#0#0#1
51#kevin schwantz #united states#1993#1#0#0#0#0#1
51#kenny roberts , jr. #united states#2000#1#0#0#0#0#1
51#nicky hayden #united states#2006#1#0#0#0#0#1
51#freddie frith #united kingdom#1949#0#1#0#0#0#1
51#bob foster #united kingdom#1950#0#1#0#0#0#1
51#keith campbell #australia#1957#0#1#0#0#0#1
51#johnny cecotto #venezuela#1975#0#1#0#0#0#1
51#takazumi katayama #japan#1977#0#1#0#0#0#1
51#jon ekerold #south africa#1980#0#1#0#0#0#1
51#dario ambrosini #italy#1950#0#0#1#0#0#1
51#enrico lorenzetti #italy#1952#0#0#1#0#0#1
51#hermann paul müller #germany#1955#0#0#1#0#0#1
51#rodney gould #united kingdom#1970#0#0#1#0#0#1
51#kel carruthers #australia#1969#0#0#1#0#0#1
51#jarno saarinen #finland#1972#0#0#1#0#0#1
51#mario lega #italy#1977#0#0#1#0#0#1
51#jean - louis tournadre #france#1982#0#0#1#0#0#1
51#christian sarron #france#1984#0#0#1#0#0#1
51#john kocinski #united states#1990#0#0#1#0#0#1
51#tetsuya harada #japan#1993#0#0#1#0#0#1
51#olivier jacque #france#2000#0#0#1#0#0#1
51#daijiro kato #japan#2001#0#0#1#0#0#1
51#marco melandri #italy#2002#0#0#1#0#0#1
51#marco simoncelli #italy#2008#0#0#1#0#0#1
51#hiroshi aoyama #japan#2009#0#0#1#0#0#1
51#toni elías #spain#2010#0#0#1#0#0#1
51#stefan bradl #germany#2011#0#0#1#0#0#1
51#pol espargaró #spain#2013#0#0#1#0#0#1
51#nello pagani #italy#1949#0#0#0#1#0#1
51#rupert hollaus #austria#1954#0#0#0#1#0#1
51#tom phillis #australia#1961#0#0#0#1#0#1
51#bill ivy #united kingdom#1967#0#0#0#1#0#1
51#dave simmonds #united kingdom#1969#0#0#0#1#0#1
51#paolo pileri #italy#1975#0#0#0#1#0#1
51#alessandro gramigni #italy#1992#0#0#0#1#0#1
51#dirk raudies #germany#1993#0#0#0#1#0#1
51#emilio alzamora #spain#1999#0#0#0#1#0#1
51#roberto locatelli #italy#2000#0#0#0#1#0#1
51#arnaud vincent #france#2002#0#0#0#1#0#1
51#andrea dovizioso #italy#2004#0#0#0#1#0#1
51#thomas lüthi #switzerland#2005#0#0#0#1#0#1
51#álvaro bautista #spain#2006#0#0#0#1#0#1
51#gábor talmácsi #hungary#2007#0#0#0#1#0#1
51#mike di meglio #france#2008#0#0#0#1#0#1
51#julián simón #spain#2009#0#0#0#1#0#1
51#nicolás terol #spain#2011#0#0#0#1#0#1
51#sandro cortese #germany#2012#0#0#0#1#0#1
51#ernst degner #germany#1962#0#0#0#0#1#1
51#ralph bryans #united kingdom#1965#0#0#0#0#1#1
51#henk van kessel #netherlands#1974#0#0#0#0#1#1
