season#timeslot ( et )#season premiere#season finale#tv season#rank#viewers (millions)
1#wednesday 9:00 pm#september 5 , 2001#december 13 , 2001#2001 - 2002#73#8.80
2#wednesday 9:00 pm#march 11 , 2002#may 15 , 2002#2001 - 2002#49#10.30
3#wednesday 9:00 pm#october 2 , 2002#december 18 , 2002#2002#71#8.98
4#thursday 8:00 pm#may 29 , 2003#august 21 , 2003#2003#n / a#8.32
5#tuesday 10:00 pm#july 6 , 2004#september 21 , 2004#2004#n / a#10.73
6#tuesday 9:00 pm#november 16 , 2004#february 8 , 2005#2004 - 2005#31#11.54
7#tuesday 9:00 pm#march 1 , 2005#may 10 , 2005#2004 - 2005#25#13.05
8#tuesday 9:00 pm#september 27 , 2005#december 13 , 2005#2005 - 2006#42#10.80
9#tuesday 9:00 pm tuesday 10:00 pm wednesday 8:00 pm#february 28 , 2006#may 17 , 2006#2005 - 2006#56#9.10
10#sunday 8:00 pm#september 17 , 2006#december 10 , 2006#2006 - 2007#31#11.50
11#sunday 8:00 pm#february 18 , 2007#may 6 , 2007#2006 - 2007#44#10.10
12#sunday 8:00 pm#november 4 , 2007#january 20 , 2008#2007 - 2008#25#11.84
13#sunday 8:00 pm#september 28 , 2008#december 7 , 2008#2008 - 2009#27#11.14
14#sunday 8:00 pm#february 15 , 2009#may 10 , 2009#2008 - 2009#29#10.91
15#sunday 8:00 pm#september 27 , 2009#december 6 , 2009#2009 - 2010#28#11.14
16#sunday 8:00 pm#february 14 , 2010#may 9 , 2010#2009 - 2010#29#10.40
17#sunday 8:00 pm#september 26 , 2010#december 12 , 2010#2010 - 2011#22#11.93
18#sunday 8:00 pm#february 20 , 2011#may 8 , 2011#2010 - 2011#39#10.35
19#sunday 8:00 pm#september 25 , 2011#december 11 , 2011#2011 - 2012#34#11.13
20#sunday 8:00 pm#february 19 , 2012#may 6 , 2012#2011 - 2012#37#10.30
21#sunday 8:00 pm#september 30 , 2012#december 9 , 2012#2012 - 2013#29#10.68
22#sunday 8:00 pm#february 17 , 2013#may 5 , 2013#2012 - 2013#36#10.17
