name#latitude#longitude#diameter (km)#year named
ahsabkab vallis#24.0s#79.0e#700.0#2000
alajen vallis#3.3s#337.1e#200.0#2000
albys vallis#39.5s#30.5e#240.0#1997
anuket vallis#66.7n#8.0e#350.0#1994
apisuahts vallis#66.5s#17.0e#550.0#1997
austrina vallis#49.5s#177.0e#600.0#1997
avfruvva vallis#2.0n#70.0e#70.0#1994
baltis vallis#37.3n#161.4e#6000.0#1994
banumbirr vallis#7.0s#4.0e#400.0#1997
bastryk vallis#7.5s#347.5e#190.0#2000
bayara vallis#45.6n#16.5e#500.0#1994
belisama vallis#50.0n#22.5e#220.0#1994
bennu vallis#1.3n#341.2e#710.0#1994
chasca vallis#52.8s#359.0e#400.0#1997
citlalpul vallis#51.8s#187.0e#3160.0#1994
dilbat vallis#55.0s#184.0e#420.0#2000
dzyzlan vallis#16.0s#182.0e#250.0#1997
fara vallis#1.2s#345.5e#260.0#2000
fetu - ao vallis#61.0s#254.7e#400.0#1997
fufei vallis#46.0n#341.0e#170.0#1997
ganga valles#4.8n#53.0e#200.0#2006
gendenwitha vallis#63.0s#259.0e#900.0#1997
helmud vallis#33.9s#171.3e#280.0#1997
hoku - ao vallis#28.0n#166.5e#450.0#1997
ikhwezi vallis#16.0n#147.8e#1700.0#1997
jutrzenka vallis#27.0n#155.8e#970.0#1997
kallistos vallis#51.1s#21.5e#900.0#1994
khalanasy vallis#51.0s#168.5e#320.0#1997
kimtinh vallis#46.5s#67.0e#550.0#2000
kinsei vallis#13.6n#141.0e#800.0#1997
koidutã¤ht vallis#76.5s#130.0e#700.0#1997
kumanyefie vallis#80.5s#335.0e#600.0#1997
ku - msong vallis#59.0s#152.5e#700.0#1997
laidamlulum vallis#73.0s#151.0e#2700.0#2000
lo shen valles#12.8s#89.6e#225.0#1994
lunang vallis#68.2n#310.0e#250.0#1997
lusaber vallis#47.5s#164.0e#500.0#1997
martuv vallis#23.0n#156.0e#250.0#1997
matlalcue vallis#33.0s#167.5e#300.0#1997
merak vallis#63.5s#162.0e#200.0#1997
morongo valles#20.0s#111.4e#660.0#2003
nahid valles#55.1s#171.0e#500.0#1997
nantosuelta vallis#61.9s#193.0e#320.0#1997
nepra vallis#1.4n#24.2e#350.0#1997
ngyandu vallis#62.0s#12.0e#500.0#1997
nommo valles#40.7s#87.3e#200.0#2000
nyakaio vallis#47.5n#339.0e#150.0#1997
olokun vallis#81.5n#269.0e#150.0#1997
omutnitsa vallis#33.0n#292.0e#150.0#1997
poranica valles#21.0s#178.5e#550.0#1997
saga vallis#76.1n#340.6e#450.0#1994
samundra vallis#24.1s#347.1e#110.0#1994
sati vallis#3.2n#334.4e#225.0#1994
sezibwa vallis#44.0s#37.0e#300.0#1997
sholpan vallis#63.9s#150.0e#590.0#2003
sinann vallis#49.0s#270.0e#425.0#1994
ta'urua vallis#80.2s#247.5e#525.0#1994
tai - pe valles#11.0n#156.5e#400.0#1997
tan - yondozo vallis#41.5s#87.0e#800.0#1997
tapati vallis#27.0n#304.0e#150.0#1997
tawera vallis#11.6s#67.5e#500.0#1997
tingoi vallis#6.0n#318.6e#250.0#1997
umaga valles#49.0s#152.0e#400.0#1997
uottakh - sulus valles#12.5n#239.0e#1100.0#1997
utrenitsa vallis#55.0n#280.0e#700.0#1997
vakarine vallis#5.0n#336.4e#625.0#1994
veden - ema vallis#15.0s#141.0e#300.0#1997
vesper vallis#59.3s#180.0e#610.0#2000
vishera vallis#33.1s#161.6e#300.0#2003
xulab vallis#57.5s#186.0e#820.0#1997
ymoja vallis#71.6s#204.8e#390.0#1994
yuvkha valles#10.5n#239.5e#200.0#1997
