round#date#home#result#visitor#venue#attendance
18#saturday , november 1#luleå hf#5–1#timrå ik#coop arena#4650
18#saturday , november 1#djurgårdens if#3–6#frölunda hc#hovet#6345
18#saturday , november 1#hv71#4–3#färjestads bk#kinnarps arena#7038
18#saturday , november 1#södertälje sk#4–1#brynäs if#axa sports center#4682
18#saturday , november 1#modo hockey#2–3#rögle bk#swedbank arena#6962
19#monday , november 3#timrå ik#2–3#linköpings hc#e.on arena#4817
19#monday , november 3#modo hockey#4–3#djurgårdens if#swedbank arena#5444
19#monday , november 3#brynäs if#4–3 (ot)#hv71#läkerol arena#4408
19#monday , november 3#skellefteå aik#1–3#frölunda hc#skellefteå kraft arena#5252
19#monday , november 3#färjestads bk#2–2#södertälje sk#löfbergs lila arena#6100
19#monday , november 3#rögle bk#3–5#luleå hf#lindab arena#4920
18#monday , november 10#linköpings hc#5–3#skellefteå aik#cloetta center#6168
31#tuesday , november 11#djurgårdens if#7–0#modo hockey#hovet#5793
20#thursday , november 13#linköpings hc#3–1#brynäs if#cloetta center#8237
20#thursday , november 13#frölunda hc#0–2#timrå ik#scandinavium#11020
20#thursday , november 13#färjestads bk#5–2#skellefteå aik#löfbergs lila arena#5488
20#thursday , november 13#södertälje sk#3–2#rögle bk#axa sports center#3895
20#thursday , november 13#luleå hf#3–2#modo hockey#coop arena#4958
21#saturday , november 15#rögle bk#1–2#hv71#lindab arena#5043
21#saturday , november 15#brynäs if#2–1#frölunda hc#läkerol arena#7974
21#saturday , november 15#timrå ik#2–0#södertälje sk#e.on arena#5332
21#saturday , november 15#färjestads bk#5–2#modo hockey#löfbergs lila arena#7213
21#saturday , november 15#skellefteå aik#2–2#djurgårdens if#skellefteå kraft arena#5636
21#saturday , november 15#luleå hf#3–1#linköpings hc#coop arena#4964
22#monday , november 17#frölunda hc#3–2#södertälje sk#scandinavium#11248
22#monday , november 17#linköpings hc#3–1#rögle bk#cloetta center#6565
22#monday , november 17#modo hockey#0–6#skellefteå aik#swedbank arena#7539
22#tuesday , november 18#hv71#1–1#luleå hf#kinnarps arena#7013
22#tuesday , november 18#färjestads bk#2–0#timrå ik#löfbergs lila arena#5186
22#tuesday , november 18#djurgårdens if#2–4#brynäs if#hovet#7131
23#thursday , november 20#rögle bk#3–0#modo hockey#lindab arena#4384
23#thursday , november 20#djurgårdens if#1–4#frölunda hc#hovet#4227
23#thursday , november 20#brynäs if#2–2#färjestads bk#läkerol arena#5521
23#thursday , november 20#timrå ik#3–2 (ot)#luleå hf#e.on arena#5140
23#thursday , november 20#skellefteå aik#2–4#linköpings hc#skellefteå kraft arena#5277
23#thursday , november 20#södertälje sk#2–3 (ot)#hv71#axa sports center#3526
24#saturday , november 22#linköpings hc#2–6#timrå ik#cloetta center#7632
24#saturday , november 22#hv71#3–4 (ot)#skellefteå aik#kinnarps arena#6951
24#saturday , november 22#färjestads bk#0–2#frölunda hc#löfbergs lila arena#8250
24#saturday , november 22#rögle bk#4–3#djurgårdens if#lindab arena#4675
24#saturday , november 22#luleå hf#3–3#brynäs if#coop arena#5105
24#saturday , november 22#modo hockey#3–0#södertälje sk#swedbank arena#5971
25#monday , november 24#brynäs if#1–0#södertälje sk#löfbergs lila arena#3978
25#monday , november 24#djurgårdens if#4–2#timrå ik#hovet#3319
25#monday , november 24#luleå hf#1–1#hv71#coop arena#4378
25#tuesday , november 25#frölunda hc#5–0#rögle bk#scandinavium#11011
25#tuesday , november 25#skellefteå aik#3–2 (ot)#färjestads bk#skellefteå kraft arena#4531
25#tuesday , november 25#linköpings hc#1–5#modo hockey#cloetta center#6889
26#thursday , november 27#hv71#2–3 (ot)#frölunda hc#kinnarps arena#7038
26#thursday , november 27#modo hockey#3–7#luleå hf#swedbank arena#6151
26#thursday , november 27#timrå ik#4–3#skellefteå aik#e.on arena#5396
26#thursday , november 27#rögle bk#4–3#brynäs if#lindab arena#4744
26#thursday , november 27#södertälje sk#4–1#djurgårdens if#axa sports center#3926
26#thursday , november 27#färjestads bk#4–1#linköpings hc#löfbergs lila arena#5482
27#saturday , november 29#modo hockey#3–4#färjestads bk#swedbank arena#7029
27#saturday , november 29#djurgårdens if#1–5#hv71#hovet#6092
27#saturday , november 29#brynäs if#2–1#timrå ik#läkerol arena#7066
27#saturday , november 29#luleå hf#5–3#rögle bk#coop arena#5191
27#saturday , november 29#skellefteå aik#4–3#södertälje sk#skellefteå kraft arena#5163
27#sunday , november 30#frölunda hc#0–5#linköpings hc#scandinavium#11061
