res#record#opponent#method#event#round#location
win#42 - 27 - 10#yukinari tamura#decision (majority)#pancrase - progress tour 1#2#tokyo , japan
win#41 - 27 - 10#shingo suzuki#ko (punches)#pancrase - impressive tour 13#1#tokyo , japan
win#40 - 27 - 10#yoshihisa yamamoto#decision (unanimous)#grabaka live - 1st cage attack#2#tokyo , japan
win#39 - 27 - 10#ichiro kanai#decision (majority)#pancrase - impressive tour 8#2#tokyo , japan
draw#38 - 27 - 10#kosei kubota#draw#pancrase - impressive tour 1#2#tokyo , japan
loss#38 - 27 - 9#masahiro toryu#ko (head kick)#pancrase - passion tour 11#1#tokyo , japan
win#38 - 26 - 9#hoon kim#decision (majority)#pancrase - passion tour 7#2#tokyo , japan
loss#37 - 26 - 9#kengo ura#decision (split)#pancrase - passion tour 5#3#tokyo , japan
win#37 - 25 - 9#takenori sato#decision (majority)#pancrase - passion tour 3#2#tokyo , japan
loss#36 - 25 - 9#yuji hisamatsu#decision (majority)#pancrase - passion tour 1#3#tokyo , japan
win#36 - 24 - 9#ryuji ohori#ko#pancrase - changing tour 3#1#tokyo , japan
loss#35 - 24 - 9#alexandre ribeiro#ko (punch)#sengoku 8#3#tokyo , japan
loss#35 - 23 - 9#ryo kawamura#decision (unanimous)#pancrase - shining 8#3#tokyo , japan
win#35 - 22 - 9#hiromitsu kanehara#decision (unanimous)#pancrase - shining 5#3#tokyo , japan
win#34 - 22 - 9#yuki kondo#decision (majority)#pancrase - shining 3#3#tokyo , japan
win#33 - 22 - 9#ryo kawamura#decision (unanimous)#pancrase - rising 10#3#tokyo , japan
draw#32 - 22 - 9#carlos toyota#draw#mars 6 - rapid fire#2#yokohama , japan
loss#32 - 22 - 8#mikko rupponen#decision (unanimous)#ff 17 - fight festival 17#3#finland
loss#32 - 21 - 8#dae won kim#decision (unanimous)#deep - 20th impact#2#tokyo , japan
loss#32 - 20 - 8#nilson de castro#decision (unanimous)#pancrase - spiral 2#3#yokohama , japan
loss#32 - 19 - 8#gustavo machado#submission (heel hook)#pancrase - brave 11#3#tokyo , japan
win#32 - 18 - 8#chael sonnen#decision (majority)#pancrase - 2004 neo - blood tournament , final#3#tokyo , japan
win#31 - 18 - 8#kozo urita#decision (unanimous)#pancrase - brave 5#2#tokyo , japan
draw#30 - 18 - 8#bret bergmark#draw#pancrase - hybrid 11#3#tokyo , japan
draw#30 - 18 - 7#keith jardine#draw#pancrase - hybrid 8#2#osaka , japan
win#30 - 18 - 6#nate marquardt#decision (unanimous)#pancrase - 2003 neo - blood tournament , round 2#3#tokyo , japan
loss#29 - 18 - 6#nilson de castro#tko (punches)#pancrase - hybrid 6#1#tokyo , japan
draw#29 - 17 - 6#tsuyoshi kurihara#draw#pancrase - hybrid 4#2#tokyo , japan
loss#29 - 17 - 5#akihiro gono#tko (punches)#pancrase - spirit 9#3#tokyo , japan
win#29 - 16 - 5#eiji ishikawa#decision (majority)#pancrase - 2002 anniversary show#3#yokohama , japan
win#28 - 16 - 5#mitsuyoshi sato#tko (punches)#pancrase - 2002 neo - blood tournament , round 2#3#tokyo , japan
win#27 - 16 - 5#ichiro kanai#tko (punches)#pancrase - spirit 4#1#osaka , japan
win#26 - 16 - 5#sumio koyano#ko (punches)#pancrase - spirit 3#1#tokyo , japan
loss#25 - 16 - 5#yuki sasaki#submission (armbar)#pancrase - spirit 1#1#tokyo , japan
loss#25 - 15 - 5#akihiro gono#decision (unanimous)#pancrase - proof 6#3#tokyo , japan
win#25 - 14 - 5#hikaru sato#decision (unanimous)#zero1 - shingeki chapter 2#2#tokyo , japan
win#24 - 14 - 5#yoshinori kawasaki#tko (punches)#pancrase - 2001 neo - blood tournament second round#1#tokyo , japan
loss#23 - 14 - 5#paulo filho#ko (punches)#deep - 1st impact#2#nagoya , japan
win#23 - 13 - 5#denis kang#decision (majority)#pancrase - trans 7#2#tokyo , japan
win#22 - 13 - 5#ikuhisa minowa#decision (unanimous)#pancrase - 2000 anniversary show#2#yokohama , japan
win#21 - 13 - 5#omar bouiche#submission (guillotine choke)#pancrase - 2000 anniversary show#1#yokohama , japan
win#20 - 13 - 5#naohisa kawamura#decision (unanimous)#pancrase - trans 4#1#tokyo , japan
