year#team#co - drivers#class#laps#pos
1997#joest racing#michele alboreto stefan johansson#lmp#361#1st
1998#team bmw motorsport#hans joachim stuck steve soper#lmp1#60#dnf
1999#team bmw motorsport#jj lehto jörg müller#lmp#304#dnf
2000#audi sport team joest#frank biela emanuele pirro#lmp900#368#1st
2001#audi sport team joest#frank biela emanuele pirro#lmp900#321#1st
2002#audi sport team joest#frank biela emanuele pirro#lmp900#375#1st
2003#team bentley#rinaldo capello guy smith#lmgtp#377#1st
2004#audi sport japan team goh#seiji ara rinaldo capello#lmp1#379#1st
2005#adt champion racing#jj lehto marco werner#lmp1#370#1st
2006#audi sport team joest#rinaldo capello allan mcnish#lmp1#367#3rd
2007#audi sport north america#rinaldo capello allan mcnish#lmp1#262#dnf
2008#audi sport north america#rinaldo capello allan mcnish#lmp1#381#1st
2009#audi sport team joest#rinaldo capello allan mcnish#lmp1#376#3rd
2010#audi sport team joest#rinaldo capello allan mcnish#lmp1#394#3rd
2011#audi sport north america#rinaldo capello allan mcnish#lmp1#14#dnf
2012#audi sport team joest#allan mcnish rinaldo capello#lmp1#377#2nd
2013#audi sport team joest#allan mcnish loïc duval#lmp1#348#1st
