name#nationality#position#year of birth#career#appearances#goals#club
quique álvarez#spain#defender#1975#1995 - 2009#200#005#villareal
guillermo amor#spain#midfielder#1967#1988 - 2002#402#048#barcelona
francesc arnau#spain#goalkeeper#1975#1996 - 2011#169#000#málaga
mikel arteta#spain#midfielder#1982#2000 - ¤#335#049#arsenal
gai assulin#israel#midfielder#1991#2009 - ¤#21#001#racing santander
sergi barjuán#spain#defender#1971#1993 - 2002#352#006#barcelona
carles busquets#spain#goalkeeper#1967#1990 - 1999#079#000#barcelona
sergio busquets#spain#defender#1988#2008 - ¤#071#002#barcelona
jordi cruyff#netherlands#midfielder#1974#1994 - 2010#256#042#alavés
cesc fàbregas#spain#midfielder#1987#2003 - ¤#233#044#barcelona
dani fernandez#spain#defender#1983#1992 - ¤#92#000#genk
albert ferrer#spain#defender#1970#1990 - 2003#297#001#barcelona
andreu fontàs#spain#defender#1989#2009 - ¤#007#000#barcelona
gabri garcía#spain#midfielder#1979#1999 - ¤#287#026#ajax
luis garcía#spain#midfielder#1978#1999 - ¤#225#040#unam
óscar garcía#spain#midfielder#1973#1992 - 2005#169#031#barcelona
roger garcía#spain#midfielder#1976#1995 - 2007#258#029#espanyol
pep guardiola#spain#midfielder#1971#1990 - 2006#291#009#barcelona
xavi hernández#spain#midfielder#1980#1998 - ¤#405#046#barcelona
mauro icardi#argentina#forward#1993#2012 - ¤#23#010#sampdoria
andrés iniesta#spain#midfielder#1984#2002 - ¤#228#022#barcelona
bojan krkić#spain#forward#1990#2007 - ¤#092#023#amsterdam
thiago motta#italy#midfielder#1982#2001 - ¤#152#020#psg
fernando navarro#spain#defender#1982#2001 - ¤#194#003#sevilla
gerard piqué#spain#defender#1987#2005 - ¤#071#005#barcelona
iván de la peña#spain#midfielder#1976#1995 - 2011#369#024#espanyol
oleguer presas#spain#defender#1980#2002 - ¤#146#002#ajax
carles puyol#spain#defender#1978#1999 - ¤#345#007#barcelona
pepe reina#spain#goalkeeper#1982#2002 - ¤#317#000#napoli
pedro rodríguez#spain#forward#1987#2007 - ¤#060#021#barcelona
víctor valdés#spain#goalkeeper#1982#2002 - ¤#281#000#barcelona
victor vazquez#spain#midfielder#1987#1997 - ¤#44#007#club brugge
jeffrén suárez#spain#forward#1988#2009 - ¤#23#003#sporting
giovani dos santos#mexico#forward#1989#2007 - ¤#96#021#villarreal
luis milla#spain#midfielder#1966#1986 - 2001#298#006#real madrid
nayim#spain#midfielder#1966#1987 - 2000#341#028#tottenham
óscar arpón#spain#midfielder#1975#1995 - ¤#138#005#river ebro
lluís carreras#spain#defender#1972#1992 - 2007#220#010#mallorca
albert celades#spain#midfielder#1975#1995 - ¤#267#011#barcelona
luis cembranos#spain#midfielder#1972#1994 - 2004#176#037#rayo vallecano
sergio garcía#spain#forward#1983#2003 - ¤#166#031#espanyol
javi moreno#spain#forward#1974#1999 - 2010#134#040#alavés
francisco rufete#spain#midfielder#1976#1995 - ¤#280#029#hércules
toni velamazán#spain#midfielder#1977#1995 - ¤#198#027#hospitalet
antonio pinilla#spain#forward#1971#1990 - 2008#242#040#tenerife
ángel pedraza#spain#defender#1962#1982 - 1997#129#005#mallorca
cristóbal parralo#spain#defender#1967#1987 - 2003#517#014#espanyol
lionel messi#argentina#forward#1987#2004 - ¤#327#301#barcelona
jordi alba#spain#defender#1989#2007 - ¤#010#002#barcelona
