rank#title#studio#director#worldwide gross
1#jurassic park#universal studios / amblin entertainment#steven spielberg#$914691 , 118
2#mrs. doubtfire#20th century fox#chris columbus#$441286 , 195
3#the fugitive#warner bros#andrew davis#$368875 , 760
4#schindler 's list#universal pictures#steven spielberg#$321306 , 305
5#the firm#paramount pictures#sydney pollack#$270248 , 367
6#indecent proposal#paramount pictures#adrian lyne#$266614 , 059
7#cliffhanger#tristar pictures#renny harlin#$255000 , 211
8#sleepless in seattle#tristar pictures#nora ephron#$227799 , 884
9#philadelphia#tristar pictures#jonathan demme#$206678 , 440
10#the pelican brief#warner bros#alan j. pakula#$195268 , 056
11#in the line of fire#columbia pictures#wolfgang petersen#$187343 , 874
12#cool runnings#buena vista#jon turteltaub#$154856 , 263
13#free willy#warner bros#simon wincer#$153698 , 625
14#sommersby#warner bros#jon amiel#$140081 , 992
15#last action hero#columbia pictures#john mctiernan#$137298 , 489
16#a perfect world#warner bros#clint eastwood#$135130 , 999
17#hot shots! part deux#20th century fox#jim abrahams#$133752 , 825
18#beethoven 's 2nd#universal studios#rod daniel#$118243 , 066
19#dennis the menace#warner bros#nick castle#$117270 , 765
20#sliver#paramount pictures#phillip noyce#$116300 , 000
