city#korean#hanja#province#population (2010)
seoul#서울#서울#special city#9794304
busan#부산#釜山#metropolitan city#3414950
incheon#인천#仁川#metropolitan city#2662509
daegu#대구#大邱#metropolitan city#2446418
daejeon#대전#大田#metropolitan city#1501859
gwangju#광주#光州#metropolitan city#1469293
ulsan#울산#蔚山#metropolitan city#1082567
suwon#수원#水原#gyeonggi#1071913
changwon#창원#昌原#south gyeongsang#1058021
seongnam#성남#城南#gyeonggi#949964
goyang#고양#高陽#gyeonggi#905076
yongin#용인#龍仁#gyeonggi#856765
bucheon#부천#富川#gyeonggi#853039
ansan#안산#安山#gyeonggi#728775
cheongju#청주#淸州#north chungcheong#666924
jeonju#전주#全州#north jeolla#649728
anyang#안양#安養#gyeonggi#602122
cheonan#천안#天安#south chungcheong#574623
namyangju#남양주#南楊州#gyeonggi#529898
pohang#포항#浦項#north gyeongsang#511390
