ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
2129#open cluster#gemini#06h01 m06 s#°19′20″
2146#spiral galaxy#camelopardalis#06h18 m37.5 s#°21′21″
2158#open cluster#gemini#06h07 m25 s#°06′
2168#open cluster#gemini#06h09 m#°21′
2169#open cluster#orion#06h08 m32.5 s#°57′57″
2170#diffuse nebula#monoceros#06h07 m48 s#°23′
2171#open cluster#mensa#05h58 m26.2 s#°39′15″
2172#open cluster#dorado#06h00 m05 s#°38′
2173#globular cluster#mensa#05h57 m39.7 s#°58′41″
2174#diffuse nebula#orion#06h10 m#°30′
2175#open cluster#orion#06h10 m#°30′
2194#open cluster#orion#06h13 m42.4 s#°48′06″
