res#record#opponent#method#event#round#time#location
loss#45–9#josh koscheck#ko (punches)#ufc 135#1#4:59#denver , colorado , united states
loss#45–8#b.j. penn#ko (punches)#ufc 123#1#0:21#auburn hills , michigan , united states
win#45–7#ricardo almeida#technical submission (dave schultz front headlock)#ufc 117#1#3:15#oakland , california , united states
win#44–7#renzo gracie#tko (leg kicks & punches)#ufc 112#3#4:40#abu dhabi , united arab emirates
win#43–7#matt serra#decision (unanimous)#ufc 98#3#5:00#las vegas , nevada , united states
loss#42–7#thiago alves#tko (flying knee & punches)#ufc 85#2#1:02#london , england , united kingdom
loss#42–6#georges st - pierre#submission (armbar)#ufc 79#2#4:54#las vegas , nevada , united states
win#42–5#chris lytle#decision (unanimous)#ufc 68#3#5:00#columbus , ohio , united states
loss#41–5#georges st - pierre#tko (punches)#ufc 65#2#1:25#sacramento , california , united states
win#41–4#b.j. penn#tko (punches)#ufc 63#3#3:53#anaheim , california , united states
win#40–4#royce gracie#tko (punches)#ufc 60#1#4:39#los angeles , california , united states
win#39–4#joe riggs#submission (kimura)#ufc 56#1#3:26#las vegas , nevada , united states
win#38–4#frank trigg#submission (rear naked choke)#ufc 52#1#4:05#las vegas , nevada , united states
win#37–4#georges st - pierre#submission (armbar)#ufc 50#1#4:59#atlantic city , new jersey , united states
win#36–4#renato verissimo#decision (unanimous)#ufc 48#3#5:00#las vegas , nevada , united states
loss#35–4#b.j. penn#submission (rear naked choke)#ufc 46#1#4:39#las vegas , nevada , united states
win#35–3#frank trigg#submission (standing rear naked choke)#ufc 45#1#3:54#uncasville , connecticut , united states
win#34–3#sean sherk#decision (unanimous)#ufc 42#5#5:00#miami , florida , united states
win#33–3#gil castillo#tko (doctor stoppage)#ufc 40#1#5:00#las vegas , nevada , united states
win#32–3#carlos newton#tko (punches)#ufc 38#4#3:27#london , england
win#31–3#hayato sakurai#tko (punches)#ufc 36#4#3:01#las vegas , nevada , united states
win#30–3#carlos newton#ko (slam)#ufc 34#2#1:27#las vegas , nevada , united states
win#29–3#steve gomm#tko#extreme challenge 43#2#3:18#orem , utah , united states
win#28–3#hiromitsu kanehara#decision (majority)#rings : 10th anniversary#3#5:00#tokyo , japan
win#27–3#chatt lavender#submission (arm triangle choke)#extreme challenge 41#3#2:31#davenport , iowa , united states
win#26–3#scott johnson#ko (punch)#extreme challenge 40#1#3:24#springfield , illinois , united states
win#25–3#john cronk#submission (punches)#gladiators 14#1#n / a#omaha , nebraska , united states
win#24–3#bruce nelson#submission (punches)#freestyle combat challenge 4#1#3:01#racine , wisconsin , united states
win#23–3#brett al - azzawi#submission (armbar)#rings usa : battle of champions#1#3:27#council bluffs , iowa , united states
loss#22–3#jose landi - jons#tko (knee)#shidokan jitsu : warriors war 1#1#4:45#kuwait city , kuwait
loss#22–2#dennis hallman#submission (armbar)#ufc 29#1#0:20#tokyo , japan
win#22–1#maynard marcum#submission (keylock)#rings australia : free fight battle#1#6:29#brisbane , australia
win#21–1#robbie newman#submission (arm triangle choke)#rings usa : rising stars final#1#1:40#moline , illinois , united states
win#20–1#chris haseman#decision (unanimous)#rings : millennium combine 3#2#5:00#osaka , japan
win#19–1#joe guist#submission (armbar)#extreme challenge 35#1#2:45#davenport , iowa , united states
win#18–1#marcelo aguiar#tko (punches)#ufc 26#1#4:34#cedar rapids , iowa , united states
win#17–1#shawn peters#submission (arm triangle choke)#extreme challenge 32#1#2:52#springfield , illinois , united states
win#16–1#alexandre barros#decision (unanimous)#wef 9: world class#3#5:00#evansville , indiana , united states
win#15–1#eric davila#submission (keylock)#superbrawl 17#2#3:24#honolulu , hawaii , united states
win#14–1#jorge pereira#tko (cut)#wef 8: goin' platinum#1#6:00#rome , georgia , united states
win#13–1#daniel vianna#ko (slam)#jkd challenge 3#1#2:16#chicago , illinois , united states
win#12–1#laverne clark#submission (rear naked choke)#extreme challenge 29#2#1:35#hayward , wisconsin , united states
win#11–1#tom schmitz#submission (injury)#extreme challenge 29#1#0:48#hayward , wisconsin , united states
win#10–1#joe doerksen#submission (punches)#extreme challenge 29#2#0:25#hayward , wisconsin , united states
win#9–1#valeri ignatov#decision (unanimous)#ufc 22#3#5:00#lake charles , louisiana , united states
win#8–1#akihiro gono#decision (unanimous)#shooto - 10th anniversary event#3#5:00#yokohama , japan
win#7–1#erick snyder#tko (slam)#jeet kune do challenge 4#1#n / a#chicago , illinois , united states
win#6–1#joe stern#submission (punches)#extreme challenge 23#1#2:30#indianapolis , indiana , united states
win#5–1#ryan stout#tko (corner stoppage)#extreme shootfighting#2#5:00#waukesha , wisconsin , united states
loss#4–1#dennis hallman#technical submission (standing guillotine choke)#extreme challenge 21#1#0:17#hayward , wisconsin , united states
win#4–0#dave menne#decision (unanimous)#extreme challenge 21#1#15:00#hayward , wisconsin , united states
win#3–0#victor hunsaker#tko (punches)#extreme challenge 21#1#1:39#hayward , wisconsin , united states
win#2–0#craig quick#submission (punches)#jeet kune do challenge 1#1#n / a#chicago , illinois , united states
win#1–0#erick snyder#submission (slam)#jkd : challenge 2#1#0:15#chicago , illinois , united states
