nationality#position#leeds career#appearances#goals
england#36 cb#1920–1926#208#2
scotland#36 lb#1920–1924#99#0
england#36 cb#1920–1925#211#0
england#36 st#1921–1925#116#50
england#36 cb#1920–1936#472#15
scotland#21 rw#1922–1925#134#15
scotland#21 lb#1922–1932#260#2
england#21 cb#1924–1934#150#3
scotland#21 cb#1925–1931#167#2
england#21 rw#1925–1932#215#46
ireland#21 w#1925–1936#196#47
england#36 df#1925–1943#444#6
england#36 if#1925–1931#226#93
scotland#36 fw#1925–1931#174#117
england#36 gk#1926–1934#262#0
england#36 fw#1927–1934#169#110
england#36 lw#1928–1936#259#27
england#36 rb#1928–1937#166#1
england#36 lb#1928–1939#408#30
england#36 il#1928–1937#257#66
england#36 cb#1929 - 1934 1939 - 1942#183#4
england#36 rb#1933–1938#140#1
england#36 il#1934–1944#115#22
northern ireland#36 wh#1935–1947#114#0
wales#36 il#1935–1948#119#25
england#36 lb#1936–1952#220#17
northern ireland#36 gk#1937–1949#111#0
northern ireland#36 rw#1937–1950#185#32
england#36 fw#1946–1951#105#46
scotland#36 rb#1947–1959#443#1
wales#36 cb / fw#1947 - 1957 1962#327#157
england#36 mf#1948–1954#259#13
england#36 wh#1948–1954#161#0
england#36 lb#1948–1964#474#2
england#36 gk#1949–1952#116#0
england#36 il#1949–1955#181#50
wales#36 rw#1949–1957#228#35
england#36 mf#1949–1959#349#10
england#36 gk#1950–1956#114#0
england#36 cb#1952–1973#772#221
england#36 rw#1952–1959#121#37
england#36 st#1952–1957#135#48
england#36 gk#1952–1960#203#0
scotland#36 rw#1952–1960#199#19
england#36 rw#1953–1960#163#20
england#36 w#1956–1960#98#27
northern ireland#36 ir#1957–1960#90#9
england#36 if#1958–1963#80#12
ireland#36 il#1958–1963#117#20
scotland#36 mf#1959–1976#771#115
england#36 hb#1960–1964#120#2
scotland#36 lb#1960–1967#260#18
south africa#36 lw#1961–1970#200#68
england#36 rb#1961–1978#745#9
england#36 cb#1961–1976#724#21
england#36 lb#1961–1975#350#11
england#36 cb#1962–1980#724#34
scotland#36 st#1962–1978#616#219
wales#36 gk#1962–1973#506#0
scotland#36 fw#1962–1967#156#67
scotland#36 mf#1962–1967#167#25
england#36 if#1963–1971#128#33
ireland#36 if#1963–1975#525#114
england#36 st#1963–1968#136#36
england#36 mf#1964–1976#187#9
scotland#36 lw#1965–1984#577#68
scotland#36 gk#1965 - 1979 1983 - 1985#446#0
england#36 rw#1965–1969#121#17
wales#36 mf#1967–1976#196#12
england#36 fw#1967–1975#312#111
england#36 st#1969–1978#364#151
scotland#36 fw#1970–1978#220#48
scotland#36 lb#1971–1979#246#25
england#36 lb#1972–1982#484#31
scotland#36 cb#1972–1978#171#19
wales#36 rw#1973–1982#176#29
wales#36 df#1973–1982#110#5
wales#36 mf#1975–1984#103#3
england#36 fw#1976–1980#103#36
england#36 mf#1976–1979#124#16
scotland#36 lw#1977–1983#260#47
wales#36 mf#1977–1982#177#11
england#36 cb#1978–1983#223#20
england#36 gk#1978–1983 1990 - 1996#430#0
england#36 rw#1979–1983#108#22
england#36 mf#1979–1986#152#4
england#36 cb#1980–1986#119#2
england#36 rb#1981–1989#244#6
ireland#36 cm#1982–1989#267#52
england#36 st#1983–1987#159#44
england#36 gk#1985–1993#268#0
england#36 fw#1985 - 1987 1990 - 1991#192#58
scotland#36 df#1986–1989#119#7
england#36 cb#1986–1991#146#1
england#36 lb#1987–1989#89#3
england#36 fw#1987–1991#127#12
england#36 lb#1987–1992#116#13
england#36 cm#1987 - 1993 1998 - 2004#382#4
england#36 st#1987–1992#110#35
wales#36 mf#1988–1996#311#57
wales#21 mf#1989–1990#53#5
scotland#21 mf#1989–1995#244#45
england#36 cb#1989–1995#240#23
england#36 rb#1989–1993#146#20
england#36 st#1989–1993#106#25
scotland#21 mf#1990–1996#294#45
england#36 cb#1990–1993#146#6
england#36 fw#1990–1993 1996#174#80
ireland#21 rb#1991–2007#531#4
england#36 cb#1991–1999#250#18
england#36 st#1991–1998#256#66
england#21 lb#1991–1997#208#5
france#36 fw#1992#34#11
england#36 fw#1993 - 1997 2004 - 2005#201#45
england#36 mf#1994–1997#130#7
south africa#36 cb#1994–2005#262#3
ghana#21 fw#1995–1997#62#33
ireland#21 lb#1995–2004#288#39
australia#21 am#1995–2003#242#63
england#21 gk#1996–2003#273#0
ireland#21 cm#1996–2004#97#3
netherlands#36 st#1997–1999#87#42
england#21 rm#1996–2003#265#55
norway#36 mf#1997–2000#92#8
england#21 fw#1997–2004#228#56
england#21 gk#1997–2004#119#1
england#21 cb#1996–2003#142#4
norway#21 mf#1999–2006#196#21
england#21 rb#1999–2004#141#4
england#21 fw#1999–2004#82#21
england#21 lw#1999–2004#106#6
australia#21 st#2000–2004#166#72
scotland#21 df#2000–2004#146#4
england#21 cb#2000–2007#95#3
england#21 cb#2000–2002#73#2
england#21 rb#2001–2009#173#5
england#21 mf#2002–2004#54#5
england#21 rw#2003–2005#43#1
northern ireland#21 st#2004–2007#121#31
ireland#21 cb#2004–2007#106#4
scotland#21 gk#2004–2007#110#0
united states#21 lm#2005–2007#96#9
angola#21 cb#2005–2010#100#4
ireland#21 cm#2005–2009#166#11
england#21 cm#2006 - 2012#225#29
jamaica#21 st#2006–2010#152#85
england#21 cm#2006–2009 2012#57#6
denmark#21 gk#2006–2010#143#0
england#21 mf#2007–2011#139#1
england#21 ♙lb♙l♙l lb#2008 - pres#97#2
australia#21 cm#2008 - 2011#144#11
england#21 cm#2008 - 2011#140#17
scotland#21 rw#2008 - 2012#189#41
argentina#21 fw#2008 - 2013#221#86
ivory coast#21 lw#2009 - 2011#79#24
scotland#21 fw#2010 - pres#107#28
england#21 rb#2012 - pres#44#3
