date#result#score#venue#competition
25 - aug - 41#d#0 - 0#kabul , afghanistan#friendly
26 - oct - 47#l#1 - 3#tehran , iran#friendly
28 - oct - 48#d#1 - 1#tehran , iran#friendly
28 - may - 50#l#1 - 6#istanbul , turkey#friendly
30 - may - 50#d#2 - 2#ankara , turkey#friendly
26 - oct - 50#w#4 - 0#tehran , iran#friendly
27 - oct - 50#w#5 - 1#tehran , iran#friendly
05 - mar - 51#w#2 - 0#new delhi , india#1951 asian games
07 - mar - 51#d#0 - 0#new delhi , india#1951 asian games
08 - mar - 51#w#3 - 2#new delhi , india#1951 asian games
10 - may - 51#l#0 - 1#new delhi , india#1951 asian games
02 - apr - 52#d#0 - 0#karachi , pakistan#friendly
26 - may - 58#l#0 - 4#tokyo , japan#1958 asian games
28 - may - 58#l#0 - 5#tokyo , japan#1958 asian games
05 - dec - 59#w#3 - 0#kochi , india#1960 asian cup qualifier
09 - dec - 59#l#1 - 4#kochi , india#1960 asian cup qualifier
11 - dec - 59#l#1 - 3#kochi , india#1960 asian cup qualifier
12 - dec - 59#d#1 - 1#kochi , india#1960 asian cup qualifier
14 - dec - 59#w#4 - 1#kochi , india#1960 asian cup qualifier
18 - dec - 59#w#2 - 1#kochi , india#1960 asian cup qualifier
