place#player#country#score#to par#money ( s )
1#david toms#united states#66 + 65 + 65 + 69 = 265#- 15#936000
2#phil mickelson#united states#66 + 66 + 66 + 68 = 266#- 14#562000
3#steve lowery#united states#67 + 67 + 66 + 68 = 268#- 12#354000
t4#mark calcavecchia#united states#71 + 68 + 66 + 65 = 270#- 10#222500
t4#shingo katayama#japan#67 + 64 + 69 + 70 = 270#- 10#222500
6#billy andrade#united states#68 + 70 + 68 + 66 = 272#- 8#175000
t7#jim furyk#united states#70 + 64 + 71 + 69 = 274#- 6#152333
t7#scott hoch#united states#68 + 70 + 69 + 67 = 274#- 6#152333
t7#scott verplank#united states#69 + 68 + 70 + 67 = 274#- 6#152333
t10#david duval#united states#66 + 68 + 67 + 74 = 275#- 5#122000
t10#justin leonard#united states#70 + 69 + 67 + 69 = 275#- 5#122000
t10#kirk triplett#united states#68 + 70 + 71 + 66 = 275#- 5#122000
