r#player#scottish premier league#scottish cup#scottish league cup#champions league (qualifying)#europa league#total
1#robbie keane#12#0#4#0#0#16
2#scott mcdonald#10#2#0#1#1#14
3#georgios samaras#10#0#0#1#2#13
4#marc - antoine fortunã©#10#0#0#0#2#12
5#aiden mcgeady#7#0#0#0#0#7
6#shaun maloney#4#0#0#0#0#4
11#patrick mccourt#2#0#1#0#0#3
11#niall mcginn#2#1#0#0#0#3
11#glenn loovens#3#0#0#0#0#3
11#josh thompson#3#0#0#0#0#3
11#diomansy kamara#2#1#0#0#0#3
12#morten rasmussen#2#0#0#0#0#2
18#paul mcgowan#0#0#0#0#1#1
18#scott brown#1#0#0#0#0#1
18#darren o'dea#1#0#0#0#0#1
18#james forrest#1#0#0#0#0#1
18#lee naylor#1#0#0#0#0#1
