number#name#vertices#hypotenuse 0 c#vertical 0 b#horizontal 0 a
1#通 tong#天地乾 δtlq#通弦（tl天地）#通股（tq天乾）#通勾（lq地乾）
2#边 bian#天西川 δtwb#边弦（tb天川）#边股（tw天西）#边勾（wb西川）
3#底 di#日地北 δrdn#底弦（rl日地）#底股（rn日北）#底勾（lb地北）
4#黄广 huangguang#天山金 δtmj#黄广弦（tm天山）#黄广股（tj天金）#黄广勾（mj山金）
5#黄长 huangchang#月地泉 δyls#黄长弦（yl月地）#黄长股（ys月泉）#黄长勾（ls地泉）
6#上高 shanggao#天日旦 δtrd#上高弦（tr天日）#上高股（td天旦）#上高勾（rd日旦）
7#下高 xiagao#日山朱 δrmz#下高弦（rm日山）#下高股（rz日朱）#下高勾（mz山朱）
8#上平 shangping#月川青 δysg#上平弦（ys月川）#上平股（yg月青）#上平勾（sg川青）
9#下平 xiaping#川地夕 δblj#下平弦（bl川地）#下平股（bj川夕）#下平勾（lj地夕）
10#大差 dacha#天月坤 δtyk#大差弦（ty天月）#大差股（tk天坤）#大差勾（yk月坤）
11#小差 xiaocha#山地艮 δmlh#小差弦（ml山地）#小差股（mh山艮）#小差勾（lh地艮）
12#皇极 huangji#日川心 δrsc#皇极弦（rs日川）#皇极股（rc日心）#皇极勾（sc川心）
13#太虚 taixu#月山泛 δymf#太虚弦（ym月山）#太虚股（yf月泛）#太虚勾（mf山泛）
14#明 ming#日月南 δrys#明弦（ry日月）#明股（rs日南）#明勾（ys月南）
