player#club#league#play - offs#fa cup#fa trophy#total
giuliano grazioli#barnet#29#0#0#0#29
michael twiss#morecambe#22#0#3#0#25
paul mullin#accrington stanley#20#0#0#0#20
anthony elding#stevenage borough#19#0#1#0#21
chris moore#dagenham & redbridge#19#0#1#0#21
adam stansfield#hereford united#19#0#1#1#21
bob taylor#tamworth#19#0#0#0#19
charlie griffin#forest green rovers#17#0#1#0#18
lee mcevilly#accrington stanley#15#0#0#0#17
jonny allan#northwich victoria#15#0#0#1#16
lee boylan#canvey island#14#0#0#3#17
tim sills#aldershot town#14#0#2#0#16
justin richards#woking#14#0#1#1#16
neil redfearn#scarborough#14#0#0#0#14
karl hawley#carlisle united#13#0#1#1#15
paul brayson#northwich victoria#13#0#0#0#13
