place#player#country#score#to par
1#gary player#south africa#70#e
t2#lou graham#united states#71#+ 1
t2#mike reasor#united states#71#+ 1
t4#jim colbert#united states#72#+ 2
t4#bruce crampton#australia#72#+ 2
t4#raymond floyd#united states#72#+ 2
t4#bobby nichols#united states#72#+ 2
t4#barney thompson#united states#72#+ 2
t9#arnold palmer#united states#73#+ 3
t9#tom watson#united states#73#+ 3
t9#hale irwin#united states#73#+ 3
t9#rod funseth#united states#73#+ 3
t9#jerry heard#united states#73#+ 3
t9#david graham#australia#73#+ 3
t9#mark hayes#united states#73#+ 3
t9#john buczek#united states#73#+ 3
