school year#football#cross country#soccer#golf
2003 - 04#wooster#wooster#lexington#ashland
2004 - 05#wooster#wooster#lexington#ashland
2005 - 06#madison , orrville#lexington#ashland , wooster#ashland , wooster
2006 - 07#ashland#wooster#wooster#lexington
2007 - 08#ashland#lexington#wooster#lexington
2008 - 09#lexington#lexington#lexington#ashland
2009 - 10#ashland#lexington#clear fork , lexington#ashland
2010 - 11#clear fork#ashland#wooster#ashland
2011 - 12#ashland#wooster#madison#ashland
2012 - 13#madison , mansfield , west holmes#ashland#ashland#lexington
2013 - 14#mansfield#ashland#ashland#lexington
