ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )#apparent magnitude
5101#spiral galaxy#hydra#13h21m46.6s#°25′53″#11.5
5102#lenticular galaxy#centaurus#13h21m57.8s#°37′47″#10.4
5112#spiral galaxy#canes venatici#13h21m56.7s#°44′07″#12.5
5128#lenticular galaxy#centaurus#13h25m27.6s#°01′09″#8.0
5139#globular cluster#centaurus#13h26m45.9s#°28′37″#6.1
5161#spiral galaxy#centaurus#13h29m14.0s#°10′30″#12.0
5164#spiral galaxy#ursa major#13h27m12.1s#°29′13″#14.6
5170#spiral galaxy#virgo#13h29m48.9s#°57′59″#11.9
5189#planetary nebula#musca#13h33m33.0s#°58′27″#14.1
5194#spiral galaxy#canes venatici#13h29m52.4s#°11′41″#8.8
5195#interacting galaxy#canes venatici#13h29m59.2s#°16′05″#10.6
