date#competition#ground#score#attendance#report
19 sep 2000#1. hnl#poljud#0 - 1#17000#sd.hr
3 dec 2000#1. hnl#maksimir#3 - 2#15000#sd.hr
14 apr 2001#1. hnl#poljud#3 - 1#32000#sd.hr
9 may 2001#cup#poljud#0 - 2#30000#sd.hr
13 may 2001#1. hnl#maksimir#1 - 0#25000#sd.hr
23 may 2001#cup#maksimir#1 - 0#13000#sd.hr
14 oct 2001#1. hnl#maksimir#1 - 2#15000#sd.hr
7 apr 2002#1. hnl#poljud#2 - 1#20000#sd.hr
1 sep 2002#1. hnl#poljud#1 - 0#35000#sd.hr
1 dec 2002#1. hnl#maksimir#2 - 1#18000#sd.hr
13 apr 2003#1. hnl#maksimir#0 - 1#20000#sd.hr
11 may 2003#1. hnl#poljud#4 - 1#22000#sd.hr
20 jul 2003#supercup#maksimir#4 - 1#7000#sd.hr
31 aug 2003#1. hnl#maksimir#1 - 0#8000#sd.hr
6 dec 2003#1. hnl#poljud#3 - 1#15000#sd.hr
3 apr 2004#1. hnl#poljud#0 - 0#25000#sd.hr
1 may 2004#1. hnl#maksimir#3 - 1#20000#sd.hr
17 jul 2004#supercup#poljud#1 - 0#17000#sportnet.hr
11 sep 2004#1. hnl#maksimir#3 - 0#15000#sportnet.hr
5 dec 2004#1. hnl#poljud#1 - 0#25000#sportnet.hr
11 sep 2005#1. hnl#maksimir#0 - 0#35000#sportnet.hr
12 feb 2006#1. hnl#poljud#0 - 1#20000#sportnet.hr
15 apr 2006#1. hnl#poljud#1 - 0#10000#sportnet.hr
13 may 2006#1. hnl#maksimir#1 - 0#30000#sportnet.hr
1 oct 2006#1. hnl#poljud#2 - 2#35000#sportnet.hr
24 feb 2007#1. hnl#maksimir#2 - 1#30000#sportnet.hr
14 mar 2007#cup#maksimir#1 - 0#15000#sportnet.hr
4 apr 2007#cup#poljud#2 - 2#25000#sportnet.hr
19 may 2007#1. hnl#maksimir#3 - 0#35000#sportnet.hr
7 oct 2007#1. hnl#poljud#1 - 2#18000#sportnet.hr
8 mar 2008#1. hnl#maksimir#1 - 0#13500#sportnet.hr
3 may 2008#1. hnl#poljud#1 - 1#10000#sportnet.hr
7 may 2008#cup#maksimir#3 - 0#15000#sportnet.hr
14 may 2008#cup#poljud#0 - 0#6000#sportnet.hr
21 sep 2008#1. hnl#maksimir#0 - 2#8000#sportnet.hr
22 feb 2009#1. hnl#poljud#2 - 0#38000#sportnet.hr
13 may 2009#cup#maksimir#3 - 0#20000#sportnet.hr
28 may 2009#cup#poljud#3 - 0#18000#sportnet.hr
31 may 2009#1. hnl#poljud#2 - 2#10000#sportnet.hr
31 oct 2009#1. hnl#poljud#2 - 1#4000#sportnet.hr
24 mar 2010#cup#maksimir#0 - 0#13000#sportnet.hr
7 apr 2010#cup#poljud#1 - 0#30000#sportnet.hr
1 may 2010#1. hnl#maksimir#0 - 0#13000#sportnet.hr
