week#date#opponent#result#attendance
1#september 8 , 2002#at cincinnati bengals#w 34–6#53705
2#september 15 , 2002#houston texans#w 24–3#56098
3#september 22 , 2002#at arizona cardinals#w 23–15#28980
4#september 29 , 2002#new england patriots#w 21–14#66463
5#october 6 , 2002#at denver broncos#l 26–9#75065
6#october 13 , 2002#kansas city chiefs#w 35–34#58995
7#october 20 , 2002#at oakland raiders#w 27–21#60974
8####
9#november 3 , 2002#new york jets#l 44–13#59772
10#november 10 , 2002#at st. louis rams#l 28–24#66093
11#november 17 , 2002#san francisco 49ers#w 20–17#67161
12#november 24 , 2002#at miami dolphins#l 30–3#73138
13#december 1 , 2002#denver broncos#w 30–27#66357
14#december 8 , 2002#oakland raiders#l 27–7#67968
15#december 15 , 2002#at buffalo bills#l 20–13#61838
16#december 22 , 2002#at kansas city chiefs#l 24–22#77899
17#december 29 , 2002#seattle seahawks#l 31–28#52159
