name#team#laps#time / retired#grid
garth tander#hsv dealer team#27#44:22.8901#7
mark skaife#holden racing team#27#44:25.0081#2
jamie whincup#triple eight race engineering#27#44:30.2066#3
craig lowndes#triple eight race engineering#27#44:31.1292#6
rick kelly#hsv dealer team#27#44:31.9938#1
todd kelly#holden racing team#22#44:37.5393#4
mark winterbottom#ford performance racing#27#44:38.0844#8
russell ingall#stone brothers racing#27#44:38.3849#9
will davison#dick johnson racing#27#44:39.2158#10
greg murphy#tasman motorsport#27#44:40.5244#15
lee holdsworth#garry rogers motorsport#27#44:40.7724#14
james courtney#stone brothers racing#27#44:49.2402#11
steven johnson#dick johnson racing#27#44:49.5746#22
shane van gisbergen#team kiwi racing#27#44:52.9996#16
cameron mcconville#paul weel racing#27#44:54.8540#20
shane price#perkins motorsport#27#44:56.6239#17
jason richards#tasman motorsport#27#44:56.9721#5
steve owen#rod nash racing#27#45:00.8395#21
max wilson#wps racing#27#45:02.4155#19
dean canto#garry rogers motorsport#27#45:03.4082#26
andrew jones#brad jones racing#27#45:06.5586#23
marcus marshall#perkins motorsport#27#45:11.6344#25
jason bargwanna#wps racing#27#45:13.7269#24
alan gurr#britek motorsport#27#45:18.1815#31
paul dumbrell#paul weel racing#27#45:19.8692#29
simon wills#brad jones racing#27#45:24.0657#30
steven richards#ford performance racing#27#45:52.2962#12
john bowe#paul cruickshank racing#27#45:57.0551#27
paul morris#paul morris motorsport#12#35:12.7448#18
owen kelly#paul morris motorsport#7#13:43.0249#28
jason bright#britek motorsport#6#9:54.6552#13
