res#record#opponent#method#event#round#time#location
win#35–12–1 (1)#brian stann#ko (punches)#ufc on fuel tv : silva vs. stann#2#4:08#saitama , japan
loss#34–12–1 (1)#rich franklin#decision (unanimous)#ufc 147#5#5:00#belo horizonte , minas gerais , brazil
win#34–11–1 (1)#cung le#tko (knees and punches)#ufc 139#2#4:49#san jose , california , united states
loss#33–11–1 (1)#chris leben#ko (punches)#ufc 132#1#0:27#las vegas , nevada , united states
win#33–10–1 (1)#michael bisping#decision (unanimous)#ufc 110#3#5:00#sydney , new south wales , australia
loss#32–10–1 (1)#rich franklin#decision (unanimous)#ufc 99#3#5:00#cologne , north rhine - westphalia , germany
loss#32–9–1 (1)#quinton jackson#ko (punch)#ufc 92#1#3:21#las vegas , nevada , united states
win#32–8–1 (1)#keith jardine#ko (punches)#ufc 84#1#0:36#las vegas , nevada , united states
loss#31–8–1 (1)#chuck liddell#decision (unanimous)#ufc 79#3#5:00#las vegas , nevada , united states
loss#31–7–1 (1)#dan henderson#ko (punch)#pride 33#3#2:08#las vegas , nevada , united states
loss#31–6–1 (1)#mirko filipovic#ko (head kick)#pride final conflict absolute#1#5:26#saitama , japan
win#31–5–1 (1)#kazuyuki fujita#tko (punches and soccer kicks)#pride critical countdown absolute#1#9:21#saitama , japan
win#30–5–1 (1)#ricardo arona#decision (split)#pride shockwave 2005#3#5:00#saitama , japan
loss#29–5–1 (1)#ricardo arona#decision (unanimous)#pride final conflict 2005#2#5:00#saitama , japan
win#29–4–1 (1)#kazuhiro nakamura#tko (punches)#pride critical countdown 2005#1#5:24#saitama , japan
win#28–4–1 (1)#hidehiko yoshida#decision (split)#pride total elimination 2005#3#5:00#osaka , japan
loss#27–4–1 (1)#mark hunt#decision (split)#pride shockwave 2004#3#5:00#saitama , japan
win#27–3–1 (1)#quinton jackson#ko (knees)#pride 28#2#3:26#saitama , japan
win#26–3–1 (1)#yuki kondo#ko (stomps)#pride final conflict 2004#1#2:46#saitama , japan
win#25–3–1 (1)#ikuhisa minowa#ko (punches)#pride bushido 2#1#1:09#yokohama , japan
win#24–3–1 (1)#quinton jackson#tko (knees)#pride final conflict 2003#1#6:28#tokyo , japan
win#23–3–1 (1)#hidehiko yoshida#decision (unanimous)#pride final conflict 2003#2#5:00#tokyo , japan
win#22–3–1 (1)#kazushi sakuraba#ko (punch)#pride total elimination 2003#1#5:01#saitama , japan
win#21–3–1 (1)#hiromitsu kanehara#tko (corner stoppage)#pride 23#1#3:40#tokyo , japan
win#20–3–1 (1)#tatsuya iwasaki#tko (head kick and punches)#pride shockwave#1#1:16#tokyo , japan
draw#19–3–1 (1)#mirko filipovic#draw#pride 20#5#3:00#yokohama , japan
win#19–3 (1)#kiyoshi tamura#ko (punch)#pride 19#2#2:28#saitama , japan
win#18–3 (1)#alexander otsuka#tko (doctor stoppage)#pride 18#3#2:02#fukuoka , japan
win#17–3 (1)#kazushi sakuraba#tko (doctor stoppage)#pride 17#1#10:00#tokyo , japan
win#16–3 (1)#shungo oyama#tko (punches)#pride 14#1#0:30#yokohama , japan
win#15–3 (1)#kazushi sakuraba#tko (knees and soccer kick)#pride 13#1#1:38#saitama , japan
win#14–3 (1)#dan henderson#decision (unanimous)#pride 12#2#10:00#saitama , japan
nc#13–3 (1)#gilbert yvel#no contest (groin strike)#pride 11#1#0:21#osaka , japan
win#13–3#guy mezger#ko (punches)#pride 10#1#3:45#saitama , japan
win#12–3#todd medina#ko (knees)#meca world vale tudo 2#1#0:39#curitiba , brazil
loss#11–3#tito ortiz#decision (unanimous)#ufc 25#5#5:00#tokyo , japan
win#11–2#bob schrijber#submission (rear naked choke)#pride grand prix 2000 opening round#1#2:42#tokyo , japan
win#10–2#daijiro matsui#decision (unanimous)#pride 8#2#10:00#tokyo , japan
win#9–2#carl malenko#decision (unanimous)#pride 7#2#10:00#yokohama , japan
win#8–2#tony petarra#ko (knees)#ufc 20#1#2:53#birmingham , alabama , united states
win#7–2#eugene jackson#submission (punches)#ivc 10: world class champions#1#0:32#brazil
win#6–2#adrian serrano#ko (punches and soccer kick)#ivc 9: the revenge#1#0:22#aracaju , brazil
loss#5–2#vitor belfort#tko (punches)#ufc brazil#1#0:44#são paulo , brazil
win#5–1#mike van arsdale#ko (punch and soccer kick)#ivc 6: the challenge#1#4:00#são paulo , brazil
loss#4–1#artur mariano#tko (doctor stoppage)#ivc 2: a question of pride#1#13:10#são paulo , brazil
win#4–0#egidio da costa#submission (punches)#ivc 2: a question of pride#1#2:27#são paulo , brazil
win#3–0#sean bormet#ko (head kick)#ivc 2: a question of pride#1#1:19#são paulo , brazil
win#2–0#marcelao barbosa#tko (shoulder injury)#brazilian vale tudo 10#1#0:20#brazil
win#1–0#dilson filho#ko (punch)#brazilian vale tudo 6#1#3:35#brazil
