date#placing#beat by#location#distance
24aug 02#4th#ego#nmk#6gf
14oct 02#4th#star sensation#lei#7gf
07may 03#1st#won#chs#7gf
04jun03#1st#won#kem#8gf
21jun03#3rd#hold to ransom#asc#8fm
21aug 03#6th#vanderlin#yor#7gf
11sep 03#2nd#tantina#don#7gd
11oct03#1st#won#asc#7gf
20may 04#6th#gonfilia#goo#8gf
16jun04#7th#favourable terms#asc#8gf
30jul04#3rd#phantom wind#goo#7gf
14aug 04#1st#won#nby#7gd
28aug 04#1st#won#goo#8gs
02oct04#2nd#attraction#nmk#8gd
09jul05#6th#autumn glory#lin#8st
27jul05#12th#proclamation#goo#8sft
28aug 05#1st#won#goo#8gd
10sep 05#2nd#attraction#leo#8gd / y
01oct05#5th#peeress#nmk#8gs
15oct05#7th#david junior#nmk#10gs
