name#bodyweight#snatch#clean & jerk#total (kg)
iván cambar ( cub )#76.65#156.0#194.0#350.0
josé ocando ( ven )#76.85#145.0#192.0#337.0
octavio mejías ( ven )#76.78#151.0#185.0#336.0
carlos andica ( col )#76.55#151.0#183.0#334.0
chad vaughn ( usa )#76.85#145.0#187.0#332.0
matt bruce ( usa )#69.83#148.0#180.0#328.0
julio idrovo ( ecu )#76.40#154.0#170.0#324.0
esteban radilla ( mex )#76.40#135.0#170.0#305.0
víctor viquez ( pan )#76.25#130.0#170.0#300.0
mauricio de marino ( uru )#75.10#114.0#143.0#257.0
