player#nation#tebe career#league matches#league goals#cup matches#cup goals
sven aagaard #germany#2012–present#32#1#0#0
duško adamović #serbia and montenegro#1999–2001#9#0#0#0
jeton ademi #albania#2010–2011#20#3#0#0
reinhard adler #west germany#1973–1975#10#0#1#1
thomas adler #germany#1994–1998#118#45#3#1
kwaku afriyie #ghana#2010#2#0#0#0
gökhan ahmetçik #greece#2008–2010#55#2#2#0
fikret akbulut #turkey#2010#4#0#0#0
cenk akgün #turkey#2012–present#19#6#0#0
bruno akrapović #bosnia and herzegovina#1997–2000#84#3#6#0
taşkın aksoy #turkey#1993–1997 , 1999–2002#158#16#5#1
emre anuk #germany#2009–2010#26#2#0#0
ilija aračić #croatia#1997–1998#49#24#4#3
fred arbinger #west germany#1978–1979#51#5#5#0
toralf arndt #germany#1993#15#1#0#0
revaz arveladze #georgia#1995#4#0#0#0
horst assmy #east germany#1960–1961#15#5#0#0
julian austermann #germany#2009–2010#25#0#1#0
ali avcioğlu #germany#2007–2008#8#0#0#0
mehmet aydın #turkey#2007–2008#21#0#0#0
deniz aydoğdu #turkey#2009#10#3#0#0
hans - jürgen baake #west germany#1976–1978#57#3#4#1
olaf backasch #germany#1993–1994#16#2#0#0
alpha - oumar bah #germany#2010#1#0#0#0
jerome bah #germany#2010#3#0#0#0
andré bandit #germany#2003–2004#15#1#0#0
stefan bär #germany#2004#2#0#0#0
patrick bastian #germany#2006#1#0#0#0
erdal baştürk #turkey#2009#4#0#0#0
uli bayerschmidt #germany#1994–1996#37#2#0#0
marcojan behnert #germany#2011#7#1#0#0
florian beil #germany#2009–2010#31#6#1#0
marcello bellomo #germany#2000#4#0#0#0
felix below #germany#2005–2010#105#10#4#0
marcus benad #germany#2003 , 2011–2012#37#2#0#0
aymen ben - hatira #germany#2008–2009#30#16#1#0
roland benschneider #germany#2000–2001#9#1#0#0
manuel benthin #germany#2000#4#0#0#0
besart berisha #albania#2003–2004#4#1#0#0
winfried berkemeier #west germany#1975–1978#104#16#7#1
uwe bialon #west germany#1985–1986#33#6#1#0
andreas biermann #germany#2007#7#1#0#0
shergo biran #germany#2002–2003#31#24#1#0
hubert birkenmeier #west germany#1972–1977#85#0#9#0
serkan birtane #turkey#2008–2009#5#0#0#0
albert bittlmayer #west germany#1974–1976#49#16#6#2
guido block #germany#1997–1998#19#1#1#0
tonči boban #croatia#1999–2000#4#0#0#0
thorsten boer #germany#1993#13#0#3#1
thaddäus bohne #germany#2000#2#0#0#0
ibrahim bolu #turkey#2004–2006#8#0#0#0
janek bonasewicz #germany#2011–2012 , 2013–present#24#0#0#0
daniel bongartz #germany#2012–present#45#3#0#0
dirk brändike #germany#2003–2004#3#0#0#0
timo breitkopf #germany#2009–2010#25#6#1#0
ansgar brinkmann #germany#1999–2000#29#1#1#0
detlef bruckhoff #west germany#1976–1978#18#0#1#0
jürgen bucher #west germany#1980–1981#25#0#1#0
fallou seni camara #senegal#2007#8#0#0#0
müslüm can #turkey#1997–1999 , 2007–2008#65#1#5#0
ibrahim çil #turkey#2000–2002 , 2003–2004 , 2005#52#14#0#0
saša ćirić #republic of macedonia#1999–2000#32#14#2#2
almedin civa #bosnia and herzegovina#1993–1996#56#1#0#0
aboubacar condé #germany#2007–2010#10#2#0#0
francisco copado #spain#1997–2000#79#18#5#2
junuz ćoralić #bosnia and herzegovina#1997#1#0#0#0
manuel cornelius #germany#2000–2001#17#2#1#1
nico creutzmann #germany#2000#1#0#0#0
birol çubukçu #turkey#2010–2011#25#0#0#0
goran ćurko #serbia and montenegro#1997–1999#67#0#4#0
yasın demir #turkey#2010–2011#16#0#0#0
hakan demirel #turkey#2010#13#0#0#0
fahed dermech #tunisia#1997–1999#55#9#4#0
manuel diederichs #germany#2000#1#0#0#0
frank dietrich #west germany#1984–1986#50#44#1#0
fatih dilber #turkey#2011–2012#16#2#0#0
ricky djan - okai #germany#2011#3#1#0#0
sargon duran #austria#2009#17#2#1#0
erol duygun #turkey#2005–2006#26#0#1#0
jens eckl #germany#2005–2007#35#1#2#0
peter eggert #west germany#1964–1977#57#3#8#1
ebimobowei empere #nigeria#2000#13#4#1#0
peter endrulat #west germany#1978–1981#60#0#1#0
ümit ergirdi #turkey#2007–2008#22#5#0#0
kaan ergün #turkey#2011#8#3#0#0
ronny ermel #germany#2003–2005#61#3#0#0
