heat#lane#name#nationality#time
3#2#liu zige#china#2:06.46
5#5#aurore mongel#france#2:06.49
3#4#yuko nakanishi#japan#2:06.62
5#6#jiao liuyang#china#2:06.89
5#4#otylia jędrzejczak#poland#2:06.91
3#6#natsumi hoshi#japan#2:07.02
4#6#kathleen hersey#united states#2:07.65
4#7#micha kathrine østergaard jensen#denmark#2:07.77
5#3#elaine breeden#united states#2:07.92
4#5#jemma lowe#great britain#2:08.07
4#4#jessicah schipper#australia#2:08.11
4#3#audrey lacroix#canada#2:08.54
5#2#samantha hamill#australia#2:08.83
4#8#petra granlund#sweden#2:08.97
4#2#ellen gandy#great britain#2:08.98
2#6#kathryn meaklim#south africa#2:09.41
2#4#nina dittrich#austria#2:09.85
5#7#beatrix boulsevicz#hungary#2:10.00
2#5#sara oliveira#portugal#2:10.14
3#8#stephanie horner#canada#2:10.33
3#7#paola cavallino#italy#2:10.46
5#8#joanna melo#brazil#2:10.64
5#1#choi hye - ra#south korea#2:11.42
2#8#tetyana khala#ukraine#2:12.16
4#1#yana martynova#russia#2:12.47
2#7#tao li#singapore#2:12.63
3#5#emese kovács#hungary#2:12.73
3#1#magali rousseau#france#2:13.12
2#2#yang chin - kuei#chinese taipei#2:13.26
1#5#eleftheria evgenia efstathiou#greece#2:13.27
2#1#denisa smolenová#slovakia#2:13.81
1#6#gülşah günenç#turkey#2:14.44
1#4#ingvild snildal#norway#2:14.53
1#3#kristina lennox - silva#puerto rico#2:17.27
2#3#georgina bardach#argentina#dns
3#3#sara isakovič#slovenia#dns
