hanyu#tongyong#pe̍h - ōe - jī#chinese#area (km²)#no. of villages#population (2010)
yancheng#yancheng#iâm - tiâⁿ#鹽埕區#1.4161#21#27651
gushan#gushan#kó͘ - san#鼓山區#14.7458#38#129521
zuoying#zuoying#chó - iâⁿ#左營區#19.3888#44#189944
nanzi#nanzih#lâm - chú#楠梓區#25.8276#37#171906
sanmin#sanmin#sam - bîn#三民區#19.7866#88#355097
xinxing#sinsing#sin - heng#新興區#1.9764#32#55744
qianjin#cianjin#chiân - kim#前金區#1.8573#20#29208
lingya#lingya#lêng - ngá#苓雅區#8.1522#69#185021
qianzhen#cianjhen#chiân - tìn#前鎮區#19.1207#61#199951
qijin#cijin#kî - tin#旗津區#1.4639#13#29975
xiaogang#siaogang#sió - káng#小港區#39.8573#38#153896
fengshan#fongshan#hōng - soaⁿ#鳳山區#26.7590#78#339952
linyuan#linyuan#lîm - hn̂g#林園區#32.2860#24#70770
daliao#daliao#toā - liâu#大寮區#71.0400#25#109257
dashu#dashu#toā - chhiū#大樹區#66.9811#18#44230
dashe#dashe#toā - siā#大社區#26.5848#9#32808
renwu#renwu#jîn - bú#仁武區#36.0808#16#70242
niaosong#niaosong#chiáu - chhêng#鳥松區#24.5927#7#42135
gangshan#gangshan#kong - san#岡山區#47.9421#33#97095
qiaotou#ciaotou#kiô - thâu#橋頭區#25.9379#17#36284
yanchao#yanchao#iàn - châu#燕巢區#65.3950#11#31059
tianliao#tianliao#chhân - liâu#田寮區#92.6802#10#8325
alian#alian#a - lian#阿蓮區#34.6164#12#30613
luzhu#lujhu#lō͘ - tek#路竹區#48.4348#20#54137
hunei#hunei#ô͘ - lāi#湖內區#20.1615#14#28697
qieding#cieding#ka - tiāⁿ#茄萣區#15.7624#15#31583
yong'an#yong - an#éng - an#永安區#22.6141#6#14253
mituo#mituo#mî - tô#彌陀區#14.7772#12#20613
ziguan#zihguan#chú - koaⁿ#梓官區#11.5967#15#36867
qishan#cishan#kî - san#旗山區#94.6122#21#40368
meinong#meinong#bi - long#美濃區#120.0316#19#43444
liugui#liouguei#la̍k - ku#六龜區#194.1584#12#15354
jiaxian#jiasian#kah - sian#甲仙區#124.0340#7#7616
shanlin#shanlin#sam - nâ#杉林區#104.0036#7#11102
neimen#neimen#lāi - mn̂g#內門區#95.6224#18#16085
maolin#maolin#bō͘ - lîm#茂林區#194.0000#3#1850
taoyuan#taoyuan#thô - goân#桃源區#928.9800#8#4777
namaxia#namasia#namasia#那瑪夏區#252.9895#3#3457
