team 1#agg#team 2#1st leg#2nd leg
canelli (a16)#1 - 1#(a13) vado#1 - 0#0 - 1
saluzzo (a15)#3 - 3#(a14) sestri levante#2 - 1#1 - 2
calangianus (b16)#4 - 3#(b13) renate#3 - 0#1 - 3
palazzolo (b15)#1 - 1#(b14) fanfulla#0 - 1#1 - 0
rivignano (c16)#1 - 1#(c13) trento#1 - 1#0 - 0
bolzano (c15)#4 - 4#(c14) sanvitese#3 - 0#1 - 4
renocentese (d16)#1 - 2#(d13) este#0 - 1#1 - 1
santarcangelo (d15)#4 - 2#(d14) fidenza#2 - 2#2 - 0
sestese (e16)#4 - 4#(e13) sansepolcro#1 - 0#3 - 4
aglianese (e15)#2 - 2#(e14) fortisjuventus#1 - 1#1 - 1
penne (f16)#0 - 1#(f13) centobuchi#0 - 1#0 - 0
verucchio (f15)#4 - 3#(f14) pergolese#1 - 1#3 - 2
pisoniano (g16)#1 - 3#(g13) venafro#0 - 1#1 - 2
tivoli (g15)#2 - 4#(g14) morolo#1 - 0#1 - 4
sportinggenzano (h16)#1 - 1#(h13) bitonto#0 - 0#1 - 1
lavello (h15)#2 - 1#(h14) ebolitana#2 - 1#0 - 0
campobello (i16)#3 - 1#(i13) giarre#2 - 0#1 - 1
licata (i15)#1 - 4#(i14) acicatena#1 - 1#0 - 3
