place#player#country#score#to par
1#tiger woods#united states#67 + 66 = 133#- 11
2#david toms#united states#69 + 67 = 136#- 8
t3#steve flesch#united states#67 + 70 = 137#- 7
t3#sergio garcía#spain#68 + 69 = 137#- 7
t3#loren roberts#united states#69 + 68 = 137#- 7
t6#thomas bjørn#denmark#69 + 69 = 138#- 6
t6#fred couples#united states#70 + 68 = 138#- 6
t6#ernie els#south africa#66 + 72 = 138#- 6
t6#tom lehman#united states#68 + 70 = 138#- 6
t6#phil mickelson#united states#72 + 66 = 138#- 6
