rank#province#population (2011)#percentage#population estimate (2013)
1#gauteng#12272 , 263#23.7#12728 , 400
2#kwazulu - natal#10267 , 300#19.8#10456 , 900
3#eastern cape#6562 , 053#12.7#6620 , 100
4#western cape#5822 , 734#11.2#6016 , 900
5#limpopo#5404 , 868#10.4#5518 , 000
6#mpumalanga#4039 , 939#7.8#4128 , 000
7#north west#3509 , 953#6.8#3597 , 600
8#free state#2745 , 590#5.3#2753 , 200
9#northern cape#1145 , 861#2.2#1162 , 900
south africa#south africa#51770 , 561#100.0#52982 , 000
