rank#prime number#found by#found date#number of digits
1st#2 57885 , 161 −1#gimps#2013 january 25#17425 , 170
2nd#2 43112 , 609 −1#gimps#2008 august 23#12978 , 189
3rd#2 42643 , 801 −1#gimps#2009 april 12#12837 , 064
4th#2 37156 , 667 −1#gimps#2008 september 6#11185 , 272
5th#2 32582 , 657 −1#gimps#2006 september 4#9808 , 358
6th#2 30402 , 457 −1#gimps#2005 december 15#9152 , 052
7th#2 25964 , 951 −1#gimps#2005 february 18#7816 , 230
8th#2 24036 , 583 −1#gimps#2004 may 15#7235 , 733
9th#2 20996 , 011 −1#gimps#2003 november 17#6320 , 430
10th#2 13466 , 917 −1#gimps#2001 november 14#4053 , 946
