dates (mdy)#gross sales#tickets sold / available#shows / sellout#sellout (%)
february 20–24 , 2008#$2502 , 251#16591 / 16591#4 / 4#100%
february 26 - march 2 , 2008#$3121 , 227#20635 / 21065#5 / 4#98%
march 4–9 , 2008#$3171 , 083#20915 / 21257#5 / 4#98%
march 11–16 , 2008#$2909 , 053#18721 / 19678#5 / 4#95%
june 24–29 , 2008#$3080 , 150#20197 / 20918#5 / 4#97%
july 1–6 , 2008#$2062 , 062#14435 / 17458#5 / 3#83%
july 8–13 , 2008#$2577 , 902#16981 / 20013#5 / 0#85%
july 15–20 , 2008#$2877 , 906#18914 / 20583#5 / 1#92%
august 8 , 2008#$216000#2311 / 2311#1 / 1#100%
october 9–12 , 2008#$2446 , 723#15874 / 16989#4 / 1#93%
october 14–19 , 2008#$3169 , 265#20852 / 21271#5 / 2#98%
november 11–16 , 2008#$2997 , 423#19411 / 21251#5 / 3#91%
november 25–30 , 2008#$1855 , 147#12877 / 17133#5 / 0#75%
december 2–10 , 2008#$2628 , 457#18286 / 23342#7 / 0#78%
december 30 3008 - january 4 , 2009#$2178 , 258#16228 / 20067#5 / 1#81%
january 6–11 , 2009#$1032 , 188#10114 / 13229#4 / 0#93%
january 13–18 , 2009#$1596 , 425#13837 / 14844#4 / 1#93%
january 20–25 , 2009#$1756 , 622#14748 / 16206#4 / 2#91%
march 24–29 , 2009#$2277 , 609#14973 / 19224#5 / 0#78%
march 31 - april 5 , 2009#$1766 , 243#11912 / 16722#5 / 0#71%
may 27–31 , 2009#$1595 , 782#11384 / 12979#4 / 0#88%
june 2–7 , 2009#$1197 , 730#9937 / 11087#4 / 0#90%
june 9–14 , 2009#$1365 , 798#11431 / 13769#5 / 0#83%
june 16–21 , 2009#$1329 , 917#11313 / 13463#4 / 0#84%
june 23–28 , 2009#$1410 , 139#11999 / 14648#5 / 0#82%
august 11–16 , 2009#$1282 , 838#10491 / 19548#5 / 0#54%
august 18–23 , 2009#$1032 , 628#8689 / 14720#4 / 0#59%
august 25–30 , 2009#$1050 , 691#9023 / 15632#4 / 0#58%
september 1–6 , 2009#$1341 , 994#11284 / 19942#5 / 0#57%
october 14–25 , 2009#$3734 , 928#32601 / 37914#9 / 2#86%
november 3–15 , 2009#$3813 , 094#32931 / 37868#9 / 2#87%
december 30 , 2009 - january 31 , 2010#$6654 , 168#60233 / 79356#20 / 12#76%
