year#division#league#regular season#playoffs#open cup
1994#3#usisl#1st , northeast#sizzling nine#did not enter
1995#3#usisl pro league#1st , coastal#champion#did not qualify
1996#3#usisl select league#1st , north atlantic#semifinals#did not qualify
1997#2#usisl a - league#3rd , northeast#division finals#quarterfinals
1998#2#usisl a - league#4th , northeast#conference quarterfinals#did not qualify
1999#2#usl a - league#3rd , northeast#conference quarterfinals#did not qualify
2000#2#usl a - league#1st , northeast#conference quarterfinals#did not qualify
2001#2#usl a - league#6th , northern#did not qualify#did not qualify
2002#3#usl d3 - pro league#1st , atlantic#champion#did not qualify
2003#3#usl pro select league#1st , atlantic#regional finals#2nd round
2004#3#usl pro soccer league#3rd , atlantic#did not qualify#did not qualify
2005#3#usl second division#6th#did not qualify#2nd round
2006#3#usl second division#9th#did not qualify#did not qualify
2007#4#usl pdl#4th , northeast#did not qualify#1st round
2008#4#usl pdl#3rd , northeast#did not qualify#did not qualify
2009#4#usl pdl#2nd , northeast#divisional semifinals#did not qualify
2010#4#usl pdl#4th , northeast#did not qualify#2nd round
2011#4#usl pdl#1st , mid atlantic#national semifinals#did not qualify
2012#4#usl pdl#5th , mid atlantic#did not qualify#2nd round
