place#player#country#score#to par
1#payne stewart#united states#67 + 70 = 137#- 7
t3#nolan henke#united states#67 + 71 = 138#- 6
t3#corey pavin#united states#71 + 67 = 138#- 6
t3#scott simpson#united states#70 + 68 = 138#- 6
t5#fred couples#united states#70 + 70 = 140#- 4
t5#scott hoch#united states#69 + 71 = 140#- 4
t5#craig stadler#united states#71 + 69 = 140#- 4
t8#jodie mudd#united states#71 + 70 = 141#- 3
t8#ian woosnam#wales#73 + 68 = 141#- 3
t10#rodger davis#australia#74 + 68 = 142#- 2
t10#jim gallagher , jr#united states#70 + 72 = 142#- 2
t10#ed humenik#united states#72 + 70 = 142#- 2
t10#brian kamm#united states#69 + 73 = 142#- 2
t10#sandy lyle#scotland#72 + 70 = 142#- 2
t10#andy north#united states#71 + 71 = 142#- 2
