year#meeting#venue#result#event#extra
1998#championnats nationaux#reduit , mauritius#1st#long jump#7.53
1999#african southern regional championships#harare , zimbabwe#1st#long jump#7.38
1999#aafi - salwan international meeting#delhi , india#1st#long jump#7.44
1999#raja bhalendra singh international meeting#delhi , india#2nd#long jump#7.67
1999#championnats nationaux#reduit , mauritius#1st#long jump#7.70
1999#lucozade international sport meeting#reduit , mauritius#3rd#long jump#7.57
1999#all africa games athletics#johannesburg , south africa#4th#long jump final#7.76
2000#kbc night of athletics#heusden - zolder , belgium#3rd#long jump#7.55
2000#meeting atletica citta di formia#formia , italy#2nd#long jump#7.59
2000#meeting fédéral de castres#castres , france#6th#long jump#7.60
2000#meeting de luminy#marseilles , france#3rd#long jump#7.80
2000#meeting international resisprint#la chaux - de - fonds , switzerland#3rd#long jump#7.87
2000#meeting national de paris charlety#paris , mauritius#1st#long jump#7.86
2000#mauritius international meeting#reduit , mauritius#1st#long jump#8.05
2000#meeting pre - olympic warmup#sydney , australia#1st#long jump#7.26
2000#sydney olympic games#sydney , australia#18th#long jump qualification#7.57
2001#mauritius international meeting#reduit , mauritius#2nd#long jump#7.52
2001#absa series meeting#port elizabeth , south africa#2nd#long jump#7.42
2001#absa series meeting#potchefstroom , south africa#3rd#long jump#7.77
2001#francophone games#ottawa , canada#1st#long jump qualification#7.68
2001#francophone games#ottawa , canada#2nd#long jump final#7.88
2001#francophone games#ottawa , canada#1st#4x100m qualification#39.54
2001#francophone games#ottawa , canada#1st#4x100m final#39.04
2001#iaaf world athletics championships#edmonton , canada#12th#long jump qualification#7.40
2001#apres midi des stars#reduit , mauritius#1st#long jump#7.55
2002#meeting atletica maurina olio carli#imperia , italy#3rd#long jump#7.40
2002#meeting acrobalenoatleticaeuropa#celle ligure , italy#4th#long jump#7.47
2002#meeting de valbonne#valbonne , france#2nd#long jump#7.50
2002#meeting international resisprint#la chaux - de - fonds , switzerland#2nd#long jump#7.66
2002#championnats nationaux vital#reduit , mauritius#1st#long jump#7.69
2002#meeting eap altetica geneve#geneva , switzerland#1st#long jump#7.77
2002#african athletics championships#rades , tunisia#6th#long jump final#7.88
2002#african athletics championships#rades , tunisia#3rd#4x100m final#40.27
2002#commonwealth games#manchester , england#6th#long jump qualification#7.49
2002#commonwealth games#manchester , england#7th#long jump final#7.64
2003#dakar meeting (march 16)#dakar , senegal#1st#long jump#7.30
2003#dakar meeting (march 22)#dakar , senegal#1st#long jump#7.46
2003#dakar meeting (march 22)#dakar , senegal#1st#100m#10.75
2003#preparation meet , ciad dakar#dakar , senegal#1st#triple jump#15.49
2003#preparation meet , ciad dakar#dakar , senegal#2nd#150m#15.90
2003#interrégionaux ile de france seniors#évry bondoufle , france#2nd#long jump#7.52
2003#meeting envol trophée pierre bénite#pierre bénite , france#2nd#long jump#7.98
2003#meeting internazionale sestriere#sestriere , italy#2nd#long jump#8.13
2003#intersport gugl - meeting#linz , austria#6th#long jump#7.68
2003#air mauritius international meeting#reduit , mauritius#1st#long jump#7.15
2003#bamako international meeting#bamako , mali#1st#long jump#7.70
2003#meeting international résisprint#la chaux - de - fonds , switzerland#1st#long jump#7.92
2003#jeux des iles de l'ocean indien#reduit , mauritius#1st#long jump final#7.85
2003#all africa games#abuja , nigeria#7th#long jump#7.56
2004#bamako aac international meeting#bamako , mali#3rd#long jump#7.55
2004#dakar international meeting#dakar , senegal#3rd#long jump#7.73
2004#tunis aac international meeting#rades , tunisia#3rd#long jump qualification#7.94
2004#tunis aac international meeting#rades , tunisia#1st#long jump final#7.70
2004#algiers aac meeting#algiers , algeria#6th#long jump#7.70
2004#skyline international meeting#reduit , mauritius#1st#long jump#7.99
2004#rhythm'n'jump meeting#pierrelatte , france#2nd#long jump#7.84
2004#meeting internazionale citta di avellino#avellino , italy#2nd#long jump#7.73
2004#african athletics championships#brazzaville , congo#5th#long jump#7.65
2004#meeting acrobalenoatleticaeuropa#celle ligure , italy#3rd#long jump#7.67
2004#meeting national à thème de pierre bénite#pierre bénite , france#6th#long jump#7.62
2004#critériums nationaux des spécialités#toulouse , france#1st#long jump#8.15
2004#meeting national d1 de castres#toulouse , france#1st#long jump#7.59
