version#release#release date#end of maintenance#requirement
1.0#1.0#december 3 , 2008#december 31 , 2010#php 5.1.0 or above
1.0#1.0.1#january 4 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.2#february 1 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.3#march 1 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.4#april 5 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.5#may 10 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.6#june 7 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.7#july 5 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.8#august 9 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.9#september 6 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.10#october 18 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.11#december 13 , 2009#december 31 , 2010#php 5.1.0 or above
1.0#1.0.12#march 14 , 2010#december 31 , 2010#php 5.1.0 or above
1.1#1.1.0#january 10 , 2010#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.1#march 14 , 2010#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.2#may 2 , 2010#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.3#july 4 , 2010#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.4#september 5 , 2010#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.5#november 14 , 2010#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.6#january 16 , 2011#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.7#march 27 , 2011#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.8#june 26 , 2011#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.9#january 1 , 2012#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.10#february 12 , 2012#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.11#july 29 , 2012#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.12#august 19 , 2012#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.13#december 30 , 2012#december 31 , 2015 or later#php 5.1.0 or above
1.1#1.1.14#august 11 , 2013#december 31 , 2015 or later#php 5.1.0 or above
