res#record#opponent#method#event#round#location
loss#19 - 25 - 5#ryuta sakurai#decision (unanimous)#deep - haleo impace#3#tokyo , japan
draw#19 - 24 - 5#yuki sasaki#decision (unanimous)#grabaka - grabaka live 2#3#tokyo , japan
loss#19 - 24 - 4#yusuke sakashita#decision (unanimous)#deep - cage impact 2012 in tokyo : over again#2#tokyo , japan
draw#19 - 23 - 4#daijiro matsui#draw (majority)#deep 57 - impact#2#tokyo , japan
loss#19 - 23 - 3#hideto tatsumi#decision (unanimous)#deep - 54 impact#2#tokyo , japan
win#19 - 22 - 3#hiroki sato#decision (unanimous)#deep - 51 impact#2#tokyo , japan
draw#18 - 22 - 3#yong choi#draw#deep - 49 impact#2#tokyo , japan
loss#18 - 22 - 2#riki fukuda#decision (unanimous)#deep - 46 impact#3#tokyo , japan
win#18 - 21 - 2#makoto miyazawa#tko (punches)#deep - 44 impact#1#tokyo , japan
draw#17 - 21 - 2#ryuta sakurai#draw#deep - 42 impact#2#tokyo , japan
win#17 - 21 - 1#kenji nagai#tko (punches)#deep - 41 impact#2#tokyo , japan
loss#16 - 21 - 1#ichiro kanai#decision (unanimous)#pancrase - shining 8#2#tokyo , japan
loss#16 - 20 - 1#keiichiro yamamiya#decision (unanimous)#pancrase - shining 5#3#tokyo , japan
loss#16 - 19 - 1#izuru takeuchi#decision (unanimous)#pancrase - shining 2#3#tokyo , japan
loss#16 - 18 - 1#ryo kawamura#ko (punches)#pancrase - rising 3#3#tokyo , japan
loss#16 - 17 - 1#marcelo brito#technical submission (armbar)#mars 5 - marching on#1#tokyo , japan
win#16 - 17 - 1#ruslan abdulkhamidov#submission (heel hook)#kokoro - kill or be killed#1#tokyo , japan
loss#15 - 17 - 1#kestutis arbocius#decision (unanimous)#pancrase - blow 3#2#tokyo , japan
loss#15 - 16 - 1#chalid arrab#decision (majority)#hero 's 2005 in seoul#2#seoul , south korea
loss#15 - 15 - 1#yuki kondo#decision (unanimous)#pancrase - spiral 8#3#yokohama , japan
loss#15 - 14 - 1#iouri bekichev#tko#rings - lithuania#1#lithuania
loss#15 - 13 - 1#maurício rua#tko (stomp)#pride 29#1#saitama , japan
loss#15 - 12 - 1#alistair overeem#tko (doctor stoppage)#pride 28#2#saitama , japan
loss#15 - 11 - 1#mirko filipovic#decision (unanimous)#pride - bushido 3#2#yokohama , japan
loss#15 - 10 - 1#wanderlei silva#tko (corner stoppage)#pride 23#1#tokyo , japan
draw#15 - 9 - 1#mikhail ilyukhin#draw#rings - world title series grand final#3#yokohama , japan
win#15 - 9#paul cahoon#decision (split)#rings : world title series 5#3#yokohama , japan
win#14 - 9#kelly jacobs#tko (lost points)#rings : world title series 4#2#tokyo , japan
loss#13 - 9#matt hughes#decision (majority)#rings : 10th anniversary#3#tokyo , japan
loss#13 - 8#ricardo arona#submission (kneebar)#rings : world title series 2#2#yokohama , japan
loss#13 - 7#antônio rodrigo nogueira#submission (rear naked choke)#rings : king of kings 2000 final#2#tokyo , japan
win#13 - 6#dave menne#tko (punches)#rings : king of kings 2000 final#3#tokyo , japan
win#12 - 6#tom sauer#tko (punches)#rings : king of kings 2000 block b#1#osaka , japan
win#11 - 6#alexandre ferreira#submission (kimura)#rings : king of kings 2000 block b#2#osaka , japan
win#10 - 6#josh hall#decision (split)#rings usa : rising stars block b#2#hawaii , united states
win#9 - 6#adrian serrano#submission (armlock)#rings usa : rising stars block b#1#hawaii , united states
loss#8 - 6#renato sobral#decision (unanimous)#rings : millennium combine 2#2#tokyo , japan
loss#8 - 5#mario sperry#decision (majority)#c2k - colosseum 2000#2#japan
win#8 - 4#valentijn overeem#ko (punch)#rings holland : there can only be one champion#1#netherlands
loss#7 - 4#dan henderson#decision (majority)#rings : king of kings 1999 block a#2#tokyo , japan
win#7 - 3#jeremy horn#decision (majority)#rings : king of kings 1999 block a#2#tokyo , japan
win#6 - 3#wataru sakata#decision (lost points)#rings : rise 5th#3#japan
win#5 - 3#masayuki naruse#decision (unanimous)#rings : rise 4th#3#japan
loss#4 - 3#valentijn overeem#tko (corner stoppage)#rings : rise 3rd#1#japan
loss#4 - 2#kiyoshi tamura#submission (armbar)#rings : rise 1st#3#japan
loss#4 - 1#ricardo morais#decision#rings : final capture#5#japan
win#4 - 0#hans nijman#submission (armbar)#rings : world mega battle tournament#1#japan
win#3 - 0#lee hasdell#decision#nots 2 - night of the samurai 2#1#england
win#2 - 0#sander mackilljan#submission (armlock)#rings : fourth fighting integration#1#tokyo , japan
win#1 - 0#lee hasdell#tko#rings : third fighting integration#1#tokyo , japan
