res#record#opponent#method#event#round#time#location
win#6 - 5#jae sun lee#decision (unanimous)#sengoku 10#3#5:00#saitama , japan
win#5 - 5#michael costa#submission (heel hook)#sengoku 8#1#3:31#tokyo , japan
loss#4 - 5#frank trigg#decision (unanimous)#sengoku 4#3#5:00#saitama , japan
loss#4 - 4#evangelista santos#submission (achilles lock)#sengoku 1#1#4:51#tokyo , japan
win#4 - 3#murilo bustamante#decision (split)#yarennoka!#2#5:00#saitama , japan
win#3 - 3#zelg galešić#submission (kimura)#pride 34#1#5:40#saitama , japan
loss#2 - 3#gegard mousasi#tko (broken eye socket)#pride bushido 11#1#5:34#saitama , japan
loss#2 - 2#sanae kikuta#decision (unanimous)#pride shockwave 2005#3#5:00#saitama , japan
win#2 - 1#dong - sik yoon#decision (unanimous)#pride 30#3#5:00#saitama , japan
loss#1 - 1#kiyoshi tamura#decision (unanimous)#pride critical countdown 2005#3#5:00#saitama , japan
win#1 - 0#henry miller#decision (unanimous)#pride shockwave 2004#3#5:00#saitama , japan
