date#opponent#result#score#record#streak
sun , dec 2 , 1979#milwaukee bucks#win#116 - 103#17 - 9#won 1
tue , dec 4 , 1979#san antonio spurs#win#127 - 121#18 - 9#won 2
wed , dec 5 , 1979#houston rockets#win#116 - 114#19 - 9#won 3
fri , dec 7 , 1979#san diego clippers#loss#108 - 116#19 - 10#lost 1
sun , dec 9 , 1979#denver nuggets#win#131 - 118#20 - 10#won 1
fri , dec 14 , 1979#detroit pistons#win#138 - 122#21 - 10#won 2
sun , dec 16 , 1979#san antonio spurs#win#121 - 119#22 - 10#won 3
tue , dec 18 , 1979#chicago bulls#win#129 - 118#23 - 10#won 4
wed , dec 19 , 1979#atlanta hawks#loss#112 - 119#23 - 11#lost 1
fri , dec 21 , 1979#golden state warriors#win#114 - 108#24 - 11#won 1
sat , dec 22 , 1979#denver nuggets#loss#128 - 130#24 - 12#lost 1
sun , dec 23 , 1979#seattle supersonics#win#102 - 97#25 - 12#won 1
wed , dec 26 , 1979#kansas city kings#loss#111 - 118#25 - 13#lost 1
thu , dec 27 , 1979#utah jazz#win#124 - 116#26 - 13#won 1
fri , dec 28 , 1979#boston celtics#win#123 - 105#27 - 13#won 2
sun , dec 30 , 1979#phoenix suns#win#113 - 105#28 - 13#won 3
