member countries#population#area (kmâ²)#gdp (billion us$)#gdp per capita (us$)
cyprus#775927#9250#11.681#15054
czech republic#10246 , 178#78866#105.248#10272
estonia#1341 , 664#45226#22.384#16684
hungary#10032 , 375#93030#102183#10185
latvia#2306 , 306#64589#24.826#10764
lithuania#3607 , 899#65200#31.971#8861
malta#396851#316#5.097#12843
poland#38580 , 445#311904#316.438#8202
slovakia#5423 , 567#49036#42.800#7810
slovenia#2011 , 473#20273#29.633#14732
accession countries#74722 , 685#737690#685.123#9169
existing members (2004)#381781 , 620#3367 , 154#7711.871#20200
eu25 (2004)#456504 , 305 ( + 19.57%)#4104 , 844 ( + 17.97%)#8396 , 994 ( + 8.88%)#18394 (âˆ’8.94%)
