event#time#club#date#location
50m freestyle#25.28#jövő sc#28 june 2009#eger , hungary
100m freestyle#53.74#jövő sc#30 july 2009#rome , italy
200m freestyle#1:56.47#jövő sc#28 july 2009#rome , italy
400m freestyle#4:05.61#bvsc#28 july 2013#barcelona , spain
800m freestyle#8:24.79#bvsc#30 july 2011#shanghai , china
1500m freestyle#16:02.58#bvsc#29 july 2013#barcelona , spain
50m backstroke#28.83#bajai svsc#16 june 2013#canet - en - roussillon , france
100m backstroke#59.40#bajai svsc#29 july 2013#barcelona , spain
200m backstroke#2:06.62#bp. spartacus#25 august 1991#athens , greece
50m breaststroke#31.34#bp. spartacus#20 may 2000#monte carlo , monaco
100m breaststroke#1:07.79#bp. spartacus#17 september 2000#sydney , australia
200m breaststroke#2:24.03#bp. spartacus#20 september 2000#sydney , australia
50m butterfly#26.68#kőbánya sc#31 july 2009#rome , italy
100m butterfly#58.39#kőbánya sc#9 august 2008#beijing , china
200m butterfly#2:04.27#bajai svsc#29 july 2009#rome , italy
200m individual medley#2:07.46#bajai svsc#27 july 2009#rome , italy
400m individual medley#4:30.31#bajai svsc#2 august 2009#rome , italy
4×100m freestyle relay#3:37.64#hungary#26 july 2009#rome , italy
4×200m freestyle relay#7:48.04#hungary#30 july 2009#rome , italy
4×100m medley relay#4:03.63#hungary#1 august 2009#rome , italy
