season#total attendance#games#average#high avg#team#no. of clubs
1994#2155 , 000#132#16326#40000#sichuan quanxing#12
1995#3140 , 280#132#23790#40182#sichuan quanxing#12
1996#3203 , 122#132#24266#42272#jinan taishan#12
1997#2801 , 100#132#21220#39180#sichuan quanxing#12
1998#3883 , 000#182#21335#39713#shanghai shenhua#14
1999#3623 , 500#182#19909#33538#shandong luneng#14
2000#3622 , 000#182#19901#35615#shenyang ginde#14
2001#3329 , 872#182#18296#38700#shanxi guoli#14
2002#3146 , 640#210#14984#32429#beijing guo'an#15
2003#3719 , 700#210#17710#30500#dalian shide#15
2004#1430 , 600#132#10838#23636#shandong luneng#12
2005#1871 , 700#182#10284#26000#shandong luneng#14
2006#2228 , 300#210#10611#30679#shandong luneng#15
2007#3173 , 500#210#15112#24643#shanxi chanba#15
2008#3065 , 280#228#13444#26501#shandong luneng#16
2009#3854 , 115#240#16059#36805#beijing guo'an#16
2010#3499 , 304#240#14581#33342#beijing guo'an#16
2011#4236 , 322#240#17651#45666#guangzhou evergrande#16
2012#4497 , 578#240#18740#37250#guangzhou evergrande#16
2013#4456 , 977#240#18571#40428#guangzhou evergrande#16
