rank#location#2008#2009#2010#2011#2012
1#lake buena vista , florida , usa#17063 , 000#17233 , 000#16972 , 000#17142 , 000#17536 , 000
2#anaheim , california , usa#14721 , 000#15900 , 000#15980 , 000#16140 , 000#15963 , 000
3#lake buena vista , florida , usa#10935 , 000#10990 , 000#10825 , 000#10825 , 000#11063 , 000
4#lake buena vista , florida , usa#9540 , 000#9590 , 000#9686 , 000#9783 , 000#9998 , 000
5#lake buena vista , florida , usa#9608 , 000#9700 , 000#9603 , 000#9699 , 000#9912 , 000
6#orlando , florida , usa#5297 , 000#4627 , 000#5949 , 000#7674 , 000#7981 , 000
7#anaheim , california , usa#5566 , 000#6095 , 000#6278 , 000#6341 , 000#7775 , 000
8#orlando , florida , usa#6231 , 000#5530 , 000#5925 , 000#6044 , 000#6195 , 000
9#universal city , california , usa#4583 , 000#4308 , 000#5040 , 000#5141 , 000#5912 , 000
10#orlando , florida , usa#5926 , 000#5800 , 000#5100 , 000#5202 , 000#5358 , 000
