representative#title#presentation of credentials#termination of mission#appointed by
james cooley#chargé d'affaires#may 21 , 1827#february 24 , 1828#john quincy adams
samuel larned#chargé d'affaires#november 30 , 1829#march 6 , 1837#john quincy adams
james b. thornton#chargé d'affaires#march 16 , 1837#december 10 , 1837#andrew jackson
j. c. pickett#chargé d'affaires#january 30 , 1840#april 28 , 1845#martin van buren
john a. bryan#chargé d'affaires#april 28 , 1845#august 4 , 1845#john tyler
albert g. jewett#chargé d'affaires#august 4 , 1845#july 21 , 1847#james k. polk
john randolph clay#chargé d'affaires#december 15 , 1847#august 22 , 1853#james k. polk
john randolph clay#envoy extraordinary and minister plenipotentiary#august 22 , 1853#october 27 , 1860#franklin pierce
christopher robinson#envoy extraordinary and minister plenipotentiary#january 11 , 1862#december 21 , 1865#abraham lincoln
alvin p. hovey#envoy extraordinary and minister plenipotentiary#may 22 , 1866#september 22 , 1870#andrew johnson
thomas settle#envoy extraordinary and minister plenipotentiary#may 13 , 1871#november 22 , 1871#ulysses s. grant
francis thomas#envoy extraordinary and minister plenipotentiary#july 10 , 1872#july 5 , 1875#ulysses s. grant
richard gibbs#envoy extraordinary and minister plenipotentiary#july 10 , 1875#april 15 , 1879#ulysses s. grant
isaac p. christiancy#envoy extraordinary and minister plenipotentiary#april 19 , 1879#august 2 , 1881#rutherford b. hayes
stephen a. hurlbut#envoy extraordinary and minister plenipotentiary#august 2 , 1881#march 27 , 1882#james garfield
seth ledyard phelps#envoy extraordinary and minister plenipotentiary#april 24 , 1884#june 24 , 1885#chester a. arthur
charles w. buck#envoy extraordinary and minister plenipotentiary#september 1881#march 13 , 1889#grover cleveland
john hicks#envoy extraordinary and minister plenipotentiary#may 31 , 1889#june 24 , 1893#benjamin harrison
james a. mckenzie#envoy extraordinary and minister plenipotentiary#june 24 , 1893#april 13 , 1897#grover cleveland
irving b. dudley#envoy extraordinary and minister plenipotentiary#september 20 , 1897#february 14 , 1907#william mckinley
leslie combs#envoy extraordinary and minister plenipotentiary#april 10 , 1907#february 23 , 1911#theodore roosevelt
h. clay howard#envoy extraordinary and minister plenipotentiary#may 1 , 1911#september 9 , 1913#william h. taft
benton mcmillin#envoy extraordinary and minister plenipotentiary#september 9 , 1913#september 5 , 1919#woodrow wilson
william e. gonzales#ambassador extraordinary and plenipotentiary#april 24 , 1920#october 11 , 1921#woodrow wilson
miles poindexter#ambassador extraordinary and plenipotentiary#april 20 , 1923#march 21 , 1928#calvin coolidge
alexander p. moore#ambassador extraordinary and plenipotentiary#june 11 , 1928#july 10 , 1929#calvin coolidge
fred morris dearing#ambassador extraordinary and plenipotentiary#may 23 , 1930#june 3 , 1937#herbert hoover
laurence a. steinhardt#ambassador extraordinary and plenipotentiary#september 13 , 1937#april 10 , 1939#franklin d. roosevelt
r. henry norweb#ambassador extraordinary and plenipotentiary#april 10 , 1940#september 30 , 1943#franklin d. roosevelt
john campbell white#ambassador extraordinary and plenipotentiary#april 4 , 1944#june 17 , 1945#franklin d. roosevelt
william d. pawley#ambassador extraordinary and plenipotentiary#july 20 , 1945#april 27 , 1946#harry s. truman
prentice cooper#ambassador extraordinary and plenipotentiary#july 1 , 1946#june 29 , 1948#harry s. truman
harold h. tittmann , jr#ambassador extraordinary and plenipotentiary#september 27 , 1948#march 30 , 1955#harry s. truman
ellis o. briggs#ambassador extraordinary and plenipotentiary#march 27 , 1955#june 5 , 1956#dwight d. eisenhower
theodore c. achilles#ambassador extraordinary and plenipotentiary#july 24 , 1956#january 27 , 1960#dwight d. eisenhower
selden chapin#ambassador extraordinary and plenipotentiary#may 7 , 1960#august 7 , 1960#dwight d. eisenhower
james loeb#ambassador extraordinary and plenipotentiary#may 23 , 1961#july 26 , 1962#john f. kennedy
j. wesley jones#ambassador extraordinary and plenipotentiary#february 6 , 1963#june 2 , 1969#john f. kennedy
taylor g. belcher#ambassador extraordinary and plenipotentiary#august 29 , 1969#april 4 , 1974#richard nixon
robert w. dean#ambassador extraordinary and plenipotentiary#may 2 , 1974#june 17 , 1977#richard nixon
harry w. shlaudeman#ambassador extraordinary and plenipotentiary#june 28 , 1977#october 20 , 1980#jimmy carter
edwin gharst corr#ambassador extraordinary and plenipotentiary#november 6 , 1980#october 11 , 1981#jimmy carter
frank v. ortiz , jr#ambassador extraordinary and plenipotentiary#november 10 , 1981#october 27 , 1983#ronald reagan
david c. jordan#ambassador extraordinary and plenipotentiary#march 20 , 1984#july 17 , 1986#ronald reagan
alexander fletcher watson#ambassador extraordinary and plenipotentiary#november 27 , 1986#august 9 , 1989#ronald reagan
anthony cecil eden quainton#ambassador extraordinary and plenipotentiary#december 11 , 1989#september 16 , 1992#george h. w. bush
charles h. brayshaw#chargé d'affaires ad interim#september 1992#december 1993#george h. w. bush
alvin p. adams , jr#ambassador extraordinary and plenipotentiary#december 15 , 1993#august 16 , 1996#bill clinton
dennis c. jett#ambassador extraordinary and plenipotentiary#october 16 , 1996#july 3 , 1999#bill clinton
john randle hamilton#ambassador extraordinary and plenipotentiary#september 6 , 1999#july 10 , 2002#bill clinton
john r. dawson#ambassador extraordinary and plenipotentiary#december 2 , 2002#june 10 , 2003#george w. bush
james curtis struble#ambassador extraordinary and plenipotentiary#february 4 , 2004#before june 2007#george w. bush
p. michael mckinley#ambassador extraordinary and plenipotentiary#june 28 , 2007#august , 2010#george w. bush
rose m. likins#ambassador extraordinary and plenipotentiary#september 15 , 2010#incumbent#barack obama
