year#competition#venue#position#event
2007#multiplay i32 cup#newbury , berkshire#2nd#duel
2007#world series of video games toronto#toronto , canada#4th#duel
2007#electronic sports world cup#paris , france#1st#duel
2007#world series of video games lanwar#louisville , kentucky#1st#duel
2007#multiplay i30 & belkin tournament#newbury , berkshire#1st#duel
2006#poznan game arena#poznan , poland#1st#duel
2006#world cyber games all stars#monza , italy#3rd#2v2
2006#world cyber games all stars#monza , italy#6th#duel
2006#digitallife#new york , new york#2nd#duel
2006#quakecon#hilton anatole in dallas , texas#4th#duel
2006#quakecon#hilton anatole in dallas , texas#9th - 12th#2v2
2006#the gathering#hamar olympic hall in hamar , norway#1st#duel
2006#samsung netgamez#nieuwegein , netherlands#1st#duel
