date#opponent#venue#result#attendance
21 august 1954#leicester city#a#1 - 1#38941
23 august 1954#burnley#h#1 - 0#30239
28 august 1954#bolton wanderers#h#3 - 2#52756
31 august 1954#burnley#a#1 - 1#52756
4 september 1954#cardiff city#h#1 - 1#42688
6 september 1954#preston north end#h#0 - 1#36947
11 september 1954#manchester city#a#1 - 1#36230
15 september 1954#preston north end#a#2 - 1#27549
18 september 1954#everton#h#0 - 2#59199
20 november 1954#sheffield united#a#2 - 1#14137
25 september 1954#newcastle united#a#3 - 1#45659
2 october 1954#west bromwich albion#h#3 - 3#67440
9 october 1954#huddersfield town#a#0 - 1#29556
16 october 1954#manchester united#h#5 - 6#55966
23 october 1954#blackpool#a#0 - 1#19694
30 october 1954#charlton athletic#h#1 - 2#54113
6 november 1954#sunderland#a#3 - 3#42416
13 november 1954#tottenham hotspur#h#2 - 1#52961
20 november 1954#sheffield wednesday#a#1 - 1#25913
27 november 1954#portsmouth#h#4 - 1#40358
4 december 1954#wolverhampton wanderers#a#4 - 3#32095
11 december 1954#aston villa#h#4 - 0#36162
18 december 1954#leicester city#h#3 - 1#33215
25 december 1954#arsenal#a#0 - 1#47178
27 december 1954#arsenal#h#1 - 1#65922
1 january 1955#bolton wanderers#a#5 - 2#30988
22 january 1955#manchester city#h#0 - 2#34160
5 february 1955#everton#a#1 - 1#50658
12 february 1955#newcastle united#h#4 - 3#50667
26 february 1955#huddersfield town#h#4 - 1#35786
5 march 1955#aston villa#a#2 - 3#24822
9 march 1955#west bromwich albion#a#4 - 2#7764
12 march 1955#blackpool#h#0 - 0#55227
19 march 1955#charlton athletic#a#2 - 0#41415
23 march 1955#cardiff city#a#1 - 0#16649
29 march 1955#sunderland#h#2 - 1#33203
2 april 1955#tottenham hotspur#a#4 - 2#53159
8 april 1955#sheffield united#h#1 - 1#50978
9 april 1955#wolverhampton wanderers#h#1 - 0#75043
16 april 1955#portsmouth#a#0 - 0#40230
23 april 1955#sheffield wednesday#h#3 - 0#51421
30 april 1955#manchester united#a#1 - 2#34933
