name#career#matches#overs#maidens#runs#wickets#average#best
shane warne#1992 - 2007#145#6784.1#1762#17995#708#25.42#8 / 71
glenn mcgrath#1993 - 2007#124#4874.4#1470#12186#563#21.64#8 / 24
dennis lillee#1971 - 1984#70#2834.1#652#8493#355#23.92#7 / 83
brett lee#1999 - 2010#76#2755.1#547#9555#310#30.82#5 / 30
craig mcdermott#1984 - 1996#71#2764.2#583#8332#291#28.63#8 / 97
jason gillespie#1996 - 2006#71#2372.2#630#6770#259#26.14#7 / 37
richie benaud#1952 - 1964#63#2727.2#805#6704#248#27.03#7 / 72
graham mckenzie#1961 - 1971#60#2629.5#547#7328#246#29.79#8 / 71
ray lindwall#1946 - 1960#61#1970.2#419#5251#228#23.03#7 / 38
clarrie grimmett#1925 - 1936#37#2408.3#736#5231#216#24.22#7 / 40
merv hughes#1985 - 1994#53#2047.3#499#6017#212#28.38#8 / 87
stuart macgill#1998 - 2008#44#1872.5#365#6037#208#29.02#8 / 108
mitchell johnson#2007 -#50#1870#331#6281#205#30.64#8 / 61
jeff thomson#1972 - 1985#51#1589.3#300#5601#200#29.01#6 / 46
