name#nationality#position#aberdeen career#total appearances#total goals
jack allister #scotland scotland#mf#1952–1958#117#20
sone aluko #nigeria nigeria#mf#2007–2011#127#13
chris anderson #scotland scotland#df#1948–1953#71#1
george anderson #scotland scotland#gk#1914–1922#213#0
russell anderson #scotland scotland#df#1996–2007 2012–present#362#18
ian angus #scotland scotland#mf#1980–1987#120#12
bobby archibald #scotland scotland#mf#1914–1920#113#16
steve archibald #scotland scotland#fw#1977–1980#110#46
matt armstrong #scotland scotland#fw#1931–1946#238#160
archie baird #scotland scotland#mf#1946–1953#169#46
dougie bell #scotland scotland#mf#1979–1985#184#14
dave bennett #scotland scotland#df#1960–1966#111#0
jackie benyon #wales wales#mf#1932–1937#140#37
paul bernard #scotland scotland#mf#1995–2001#124#8
jim bett #scotland scotland#mf#1985–1994#337#48
eric black #scotland scotland#fw#1981–1986#116#46
jimmy black #scotland scotland#df#1927–1932#169#4
harry blackwell #england england#gk#1921–1930#251#0
henning boel #denmark denmark#df#1964–1974#150#4
scott booth #scotland scotland#fw#1989–1997 2003–2004#184#51
dod brewster #scotland scotland#mf#1913–1920#119#9
ken brownlee #scotland scotland#mf#1955–1963#166#39
robert bruce #scotland scotland#fw#1924–1928#109#45
duff bruce #scotland scotland#df#1923–1928#111#0
martin buchan #scotland scotland#df#1966–1972#189#11
paddy buckley #scotland scotland#fw#1952–1957#153#90
ian burns #scotland scotland#mf#1957–1966#192#6
dave caldwell #scotland scotland#df#1953–1960#176#0
alec cheyne #scotland scotland#fw#1925–1930#138#55
bobby clark #scotland scotland#gk#1965–1980#595#0
chris clark #scotland scotland#mf#1997–2008 2011–present#277#13
jim clunie #scotland scotland#df#1953–1960#141#9
donald colman #scotland scotland#df#1907–1920#347#1
jacky connon #scotland scotland#fw#1919–1923#106#25
robert connor #scotland scotland#mf#1986–1994#263#22
andrew considine #scotland scotland#df#2003–present#230#12
charlie cooke #scotland scotland#mf#1960–1965#165#30
neale cooper #scotland scotland#df#1980–1986#220#10
willie cooper #scotland scotland#df#1927–1948#392#3
doug coutts #scotland scotland#df#1960–1964#121#4
andy cowie #scotland scotland#mf#1938–1948#102#0
duncan davidson #scotland scotland#fw#1974–1981#112#28
norrie davidson #scotland scotland#fw#1955–1961#146#84
stewart davidson #scotland scotland#df#1905–1917 1923–1924#152#1
zander diamond #scotland scotland#df#2002–2011#249#19
billy dodds #scotland scotland#fw#1994–1999#172#67
frank dunlop #scotland scotland#df#1936–1948#185#2
jock edward #scotland scotland#df#1924–1928#101#3
don emery #wales wales#df#1948–1952#124#25
ryan esson #scotland scotland#gk#1996–2006#100#0
dickie ewen #scotland scotland#mf#1957–1961#106#24
willie falconer #scotland scotland#fw#1982–1988#100#17
eddie falloon #ireland ireland#df#1927–1938#251#6
jim forrest #scotland scotland#fw#1968–1973#186#61
matt forsyth #scotland scotland#df#1920–1926#185#0
ricky foster #scotland scotland#df#2001–2012#272#9
bob fraser #scotland scotland#mf#1931–1938#215#4
willie garner #scotland scotland#df#1975–1981#161#3
hans gillhaus #netherlands netherlands#fw#1989–1992#100#31
stephen glass #scotland scotland#mf#1994–1998#131#13
archie glen #scotland scotland#mf#1947–1960#269#27
arthur graham #scotland scotland#mf#1970–1977#298#45
brian grant #scotland scotland#mf#1984–1996#332#32
walter grant #scotland scotland#mf#1915–1924#100#12
alex halkett #scotland scotland#mf#1904–1909#129#2
george hamilton #scotland scotland#fw#1937–1954#291#159
bobby hannah #scotland scotland#df#1911–1921#126#1
joe harper #scotland scotland#fw#1969–1973 1976–1981#300#199
tony harris #scotland scotland#mf#1946–1953#272#30
michael hart #scotland scotland#df#1997–2000 2003–2008#145#0
jack hather #england england#fw#1948–1960#354#105
jim hermiston #scotland scotland#df#1965–1975#271#16
john hewitt #scotland scotland#fw#1979–1989#361#90
frank hill #scotland scotland#df#1928–1932#106#10
jimmy hogg #scotland scotland#df#1953–1965#279#1
jock hume #scotland scotland#df#1907–1920#304#3
jock hutton #scotland scotland#df#1919–1927#279#17
john inglis #scotland scotland#df#1994–1998#121#5
brian irvine #scotland scotland#df#1985–1997#384#40
willie jackson #scotland scotland#df#1925–1932#202#8
drew jarvie #scotland scotland#fw#1972–1982#386#130
eoin jess #scotland scotland#mf#1987–1996 1997–2001#379#94
george johnstone #scotland scotland#gk#1936–1949#220#0
paul kane #scotland scotland#mf#1991–1995#141#13
stuart kennedy #scotland scotland#df#1976–1983#333#9
george kinnell #scotland scotland#mf#1959–1964#165#25
jamie langfield #scotland scotland#gk#2005–present#272#0
graham leggat #scotland scotland#mf#1953–1958#152#92
jim leighton #scotland scotland#gk#1978–1988 1997–2000#535#0
willie lennie #scotland scotland#mf#1905–1913#253#67
billy little #scotland scotland#fw#1957–1968#303#96
andy love #scotland scotland#fw#1925–1934#240#83
henry low #scotland scotland#mf#1903–1907#103#23
wilf low #scotland scotland#df#1904–1916#165#3
rab macfarlane #scotland scotland#gk#1904–1908#123#0
darren mackie #scotland scotland#fw#1998–2012#364#69
bert maclachlan #scotland scotland#df#1914–1927#361#16
josh magennis #northern ireland northern ireland#fw#2010–present#103#11
chris maguire #scotland scotland#fw#2005–2011#158#22
dave main #scotland scotland#fw#1911–1917#166#58
fred martin #scotland scotland#gk#1950–1959#296#0
paul mason #england england#mf#1988–1993#193#37
jamie mcallister #scotland scotland#df#1999–2003#144#1
bob mcdermid #scotland scotland#fw#1925–1932#270#48
frank mcdougall #scotland scotland#fw#1984–1986#69#44
mark mcghee #scotland scotland#fw#1979–1984#250#100
phil mcguire #scotland scotland#df#1999–2005#180#10
charlie mcgill #scotland scotland#df#1931–1938#238#1
derek mckay #scotland scotland#fw#1969–1971#19#4
pat mckenna #scotland scotland#df#1944–1952#206#0
johnny mckenzie #scottish scotland#1935–1939#119#21#—
stewart mckimmie #scotland scotland#df#1983–1997#561#9
