rank#title#studio#director (s)#worldwide gross
1#the avengers#marvel / disney#joss whedon#$1511 , 757910
2#skyfall#mgm / columbia pictures#sam mendes#$1108 , 561013
3#the dark knight rises#warner bros. / legendary pictures#christopher nolan#$1084 , 439099
4#the hobbit : an unexpected journey#warner bros. / mgm / new line#peter jackson#$1017 , 003568
5#ice age : continental drift#20th century fox / blue sky#steve martino and mike thurmeier#$877244 , 782
6#the twilight saga : breaking dawn – part 2#lionsgate / summit#bill condon#$829224 , 737
7#the amazing spider - man#columbia pictures#marc webb#$752216 , 557
8#madagascar 3: europe 's most wanted#paramount / dreamworks#eric darnell , tom mcgrath and conrad vernon#$746921 , 274
9#the hunger games#lionsgate#gary ross#$691247 , 768
10#men in black 3#columbia pictures#barry sonnenfeld#$624026 , 776
11#life of pi#20th century fox#ang lee#$609016 , 565
12#ted#universal pictures#seth macfarlane#$549368 , 315
13#brave#walt disney pictures / pixar animation studios#mark andrews and brenda chapman#$538983 , 207
14#wreck - it ralph#walt disney pictures#rich moore#$471222 , 889
15#les misérables#universal pictures#tom hooper#$441809 , 770
16#the intouchables#gaumont film company#olivier nakache and éric toledano#$426588 , 510
17#django unchained#the weinstein company / columbia pictures#quentin tarantino#$425368 , 238
18#prometheus#20th century fox#ridley scott#$403354 , 469
19#snow white and the huntsman#universal pictures#rupert sanders#$396592 , 829
20#taken 2#20th century fox#olivier megaton#$376141 , 306
