player#league#malaysia cup#fa cup#total
safee sali#7#1#3#11
carlos augusto quinonez#7#1#2#10
zamri hassan#4#0#2#6
s sunder#5#0#0#5
kamsi joel#2#0#3#5
shariful hisham ibrahim#3#1#0#4
sanjos sundawat#1#2#0#3
k kumaran#1#1#1#3
azlan hussain#2#0#0#2
v saysupelan#1#0#1#2
hector federico carballo#0#1#1#2
reeshafiq alwi#1#0#0#1
gasili pengalot#0#0#0#0
faizal desa#0#0#0#0
syahman zainuddin#0#0#0#0
zaki tumpang (gk)#0#0#0#0
m patrick maria#0#0#0#0
saiful amar sudar (gk)#0#0#0#0
zulkifli derus#0#0#0#0
