episode#first broadcast#seans team#jasons team#scores
7x01#4 september 2008#scott capurro and james corden#alun cochrane and carol mcgiffin#6 - 4
7x02#5 september 2008#lisa appleton , mario marconi and danny wallace#vanessa feltz and luke marsden#7 - 4
7x03#11 september 2008#christopher biggins and jamelia#chris hoy and mark watson#4 - 6
7x04#18 september 2008#vic reeves and claudia winkleman#danny jones and jack whitehall#6 - 4
7x05#25 september 2008#tara palmer - tomkinson and doug stanhope#rhod gilbert and ulrika jonsson#4 - 6
7x06#2 october 2008#greg davies and john thomson#peter andre and sarah millican#5 - 3
7x07#9 october 2008#stewart francis and alex zane#kelly osbourne and andy zaltzman#6 - 4
7x08#16 october 2008#alun cochrane and kelvin mackenzie#steve jones and sarah silverman#2 - 9
7x09#23 october 2008#james corden and jim jefferies#charlie brooker and olivia lee#3 - 6
7x10#30 october 2008#chris addison and johnny vegas#krishnan guru - murthy and nicky hambleton - jones#5 - 4
7x11#6 november 2008#rich hall and russell howard#jodie kidd and michael mcintyre#3 - 6
7x12#13 november 2008#kayvan novak and louis walsh#lee mack and jennie mcalpine#4 - 5
7x13#20 november 2008#david mitchell and claudia winkleman#ken livingstone and jack whitehall#4 - 4
7x14#27 november 2008#james corden and gabby logan#steve jones and carol vorderman#6 - 4
