ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )
3518#spiral galaxy#leo#10h04m01.9s#°28′29″
3521#spiral galaxy#leo#11h05m48.9s#°02′06″
3532#open cluster#carina#11h05m33s#°44′
3539#lenticular galaxy#ursa major#11h09m08.8s#°40′21″
3550#lenticular#ursa major#11h10m38.3s#°46′04″
3552#lenticular#ursa major#11h10m42.8s#°41′25″
3553#lenticular#ursa major#11h10m40.3s#°51′09″
3554#elliptical#ursa major#11h10m47.8s#°39′38″
3556#spiral galaxy#ursa major#11h11m31.3s#°40′31″
3576#diffuse nebula#carina#11h11m49.8s#°18′14″
3587#planetary nebula#ursa major#11h14m47.7s#°01′09″
3593#spiral galaxy#leo#11h14m37.1s#°49′03″
3596#spiral galaxy#leo#11h15m06.3s#°47′12″
