outcome#date#tournament#surface#partner#score in the final
winner#18 january 1998#hobart#hard#paola suárez#7–6 (6) , 6–3
winner#26 april 1998#budapest#clay#paola suárez#4–6 , 6–1 , 6–1
winner#10 may 1998#rome#clay#paola suárez#7–6 (1) , 6–4
runner - up#25 april 1999#budapest#clay#laura montalvo#6–3 , 6–4
winner#23 may 1999#madrid#clay#paola suárez#6–2 , 0–6 , 6–0
winner#23 april 2000#hilton head#clay#paola suárez#7–5 , 6–3
runner - up#11 june 2000#french open#clay#paola suárez#6–2 , 6–4
runner - up#10 july 2000#palermo#clay#ruxandra dragomir#6–4 , 0–6 , 7–6 (6)
winner#23 july 2000#sopot#clay#paola suárez#7–5 , 6–1
runner - up#21 august 2000#new haven#hard#paola suárez#6–4 , 5–7 , 6–2
runner - up#7 january 2001#hobart#hard#ruxandra dragomir#6–4 , 6–1
runner - up#4 march 2001#acapulco#clay#paola suárez#6–4 , 6–7 (5) , 7–5
runner - up#11 march 2001#indian wells#hard#paola suárez#6–4 , 6–4
runner - up#22 april 2001#charleston#clay#paola suárez#5–7 , 7–6 (5) , 6–3
winner#20 may 2001#antwerp#clay#els callens#6–3 , 3–6 , 6–4
winner#26 may 2001#madrid#clay#paola suárez#7–5 , 2–6 , 7–6 (4)
winner#10 june 2001#french open#clay#paola suárez#6–2 , 6–1
winner#22 july 2001#knokke - heist#clay#magüi serna#6–4 , 6–3
winner#24 february 2002#bogotá#clay#paola suárez#6–2 , 6–1
winner#3 march 2002#acapulco#clay#paola suárez#7–5 , 6–1
runner - up#1 april 2002#miami#hard#paola suárez#7–6 (4) , 6–7 (4) , 6–3
winner#19 may 2002#rome#clay#paola suárez#6–3 , 6–4
winner#9 june 2002#french open#clay#paola suárez#6–4 , 6–2
runner - up#24 june 2002#wimbledon#grass#paola suárez#6–2 , 7–5
winner#18 august 2002#montreal#hard#paola suárez#6–4 , 7–6 (4)
winner#8 september 2002#us open#hard#paola suárez#6–2 , 6–1
winner#14 september 2002#bahia#hard#paola suárez#6–4 , 6–1
winner#29 september 2002#bali#hard#cara black#6–2 , 6–3
runner - up#13 january 2003#australian open#hard#paola suárez#4–6 , 6–4 , 6–3
winner#13 april 2003#charleston#clay#paola suárez#6–0 , 6–3
runner - up#20 april 2003#amelia island#clay#paola suárez#7–5 , 6–2
winner#11 may 2003#berlin#clay#paola suárez#6–3 , 4–6 , 6–4
runner - up#8 june 2003#french open#clay#paola suárez#6–7 (5) , 6–2 , 9–7
runner - up#6 july 2003#wimbledon#grass#paola suárez#6–4 , 6–4
winner#23 august 2003#new haven#hard#paola suárez#7–6 (6) , 6–3
winner#7 september 2003#us open#hard#paola suárez#6–2 , 6–3
runner - up#19 october 2003#zürich#hard (i)#paola suárez#7–6 (3) , 6–2
winner#10 november 2003#los angeles#hard (i)#paola suárez#6–4 , 3–6 , 6–3
runner - up#5 january 2004#auckland#hard#paola suárez#7–6 (6) , 3–6 , 6–1
winner#1 february 2004#australian open#hard#paola suárez#6–4 , 6–3
winner#21 march 2004#indian wells#hard#paola suárez#6–1 , 6–2
winner#18 april 2004#charleston#clay#paola suárez#6–4 , 6–1
runner - up#10 may 2004#rome#clay#paola suárez#2–6 , 6–3 , 6–3
winner#3 june 2004#french open#clay#paola suárez#6–0 , 6–3
runner - up#19 july 2004#los angeles#hard#conchita martínez#6–7 (2) , 6–4 , 6–3
runner - up#26 july 2004#san diego#hard#paola suárez#4–6 , 6–1 , 6–4
runner - up#22 august 2004#olympic games#hard#conchita martínez#6–3 , 6–3
winner#11 september 2004#us open#hard#paola suárez#6–4 , 7–5
runner - up#17 october 2004#moscow#carpet#paola suárez#6–3 , 4–6 , 6–2
runner - up#24 october 2004#zürich#hard (i)#paola suárez#6–4 , 6–4
winner#31 october 2004#luxembourg city#hard (i)#paola suárez#6–1 , 6–7 (1) , 6–3
winner#5 march 2005#dubai#hard#paola suárez#6–7 (7) , 6–2 , 6–1
winner#19 march 2005#indian wells#hard#paola suárez#7–6 (3) , 6–1
winner#17 april 2005#charleston#clay#conchita martínez#6–1 , 6–4
winner#4 june 2005#french open#clay#paola suárez#4–6 , 6–3 , 6–3
winner#7 august 2005#san diego#hard#conchita martínez#6–7 (7) , 6–1 , 7–5
runner - up#15 august 2005#toronto#hard#conchita martínez#5–7 , 6–3 , 6–4
runner - up#9 october 2005#bangkok#hard#conchita martínez#6–1 , 7–5
runner - up#30 october 2005#linz#hard (i)#conchita martínez#6–2 , 6–3
runner - up#17 january 2006#sydney#hard#paola suárez#6–3 , 5–7 , 6–2
runner - up#18 march 2006#indian wells#hard#meghann shaughnessy#6–2 , 7–5
runner - up#16 april 2006#charleston#clay#meghann shaughnessy#3–6 , 6–1 , 6–1
runner - up#8 july 2006#wimbledon#grass#paola suárez#6–3 , 3–6 , 6–2
winner#13 august 2006#los angeles#hard#paola suárez#6–3 , 6–4
