province#contestant#age#height (in)#height (mt)#hometown
a coruña#estíbaliz pereira#22#5'11#1.81#santiago de compostela
albacete#natalia cabello#18#5'7#1.72#hellín
alicante#verónica rosillo#23#5'10#1.80#torrevieja
almería#noelia manzanon#23#6'0#1.82#el ejido
araba#maría ángeles baceiredo#24#5'7#1.74#vitoria gasteiz
asturias#maría prado#22#5'7#1.74#oviedo
ávila#estefanía ruiz#22#5'10#1.78#san cristóbal de la laguna
badajoz#sheila contreras#19#5'8#1.75#mérida
barcelona#lorena pérez#20#5'10#1.80#barcelona
bizkaia#sheila pérez#20#5'10#1.79#bilbao
burgos#natalia maría fariña#25#5'7#1.72#aranda de duero
cáceres#raquel lozano#26#5'10#1.78#trujillo
cádiz#desireé panal#19#5'9#1.76#cádiz
cantabria#lucila fernández#23#6'1#1.85#santander
castellón#jennifer sánchez#23#5'10#1.78#castellón de la plana
ceuta#cristina gonzález#21#5'11#1.81#ceuta
ciudad real#patricia muñoz#27#5'10#1.79#puertollano
córdoba#ara jurado#20#5'11#1.81#alto guadalquivir
cuenca#noelia ortiz#21#5'6#1.70#las pedroñeras
gipuzkoa#ane mendizabal#24#5'9#1.77#san sebastián
girona#irma guerrero#20#5'7#1.73#figueres
granada#carmen garcía#21#5'10#1.80#almuñécar
guadalajara#mahima sandoval#21#5'8#1.75#alhaurín el grande
huelva#carmen gonzález#20#5'8#1.76#huelva
huesca#rocío salado#21#5'7#1.72#jaca
islas baleares#melody mir#18#5'9#1.77#palma de mallorca
jaén#alejandra echevarría#19#5'10#1.80#andujar
la rioja#irama rodríguez sahagún#18#5'7#1.72#logroño
las palmas#ana isabel miranda#17#5'10#1.79#puerto del rosario
león#noelia figueiras#22#5'8#1.76#león
lleida#marte eres badia#26#5'10#1.80#balaguer
lugo#cristina rivas#18#5'8#1.75#lugo
madrid#inés fernández#21#5'8#1.75#madrid
málaga#melania santiago#21#5'7#1.74#málaga
melilla#jéssica céspedes#18#5'6#1.69#melilla
murcia#tamara vera#19#5'10#1.78#molina de segura
navarra#ainara azcona#19#5'9#1.77#pamplona
ourense#irene lópez#27#5'6#1.70#verín
palencia#zaloa ederne jiménez#24#5'7#1.72#saldaña
pontevedra#isabel gonzález#21#5'7#1.71#vigo
salamanca#arantxa neira#18#5'9#1.77#salamanca
segovia#maría bastarreche#20#5'7#1.72#segovia
sevilla#fátima jiménez#18#5'7#1.74#sevilla
soria#bárbara caballero#18#5'5#1.68#ólvega
tarragona#elisabeth berral merlo#24#5'10#1.80#cambrils
tenerife#sara elena pérez padrón#22#5'8#1.76#los realejos
teruel#estefanía de francisco#23#5'9#1.77#utrillas
toledo#sherezade jiménez#18#5'8#1.75#talavera
valencia#tharna tirado#20#5'10#1.78#valencia
valladolid#marina martínez#20#5'10#1.80#valladolid
zamora#patricia núñez#21#5'10#1.80#zamora
