week 1#week 2#week 3#week 4#week 5
karlee rose#jason hibbert#shelly louise#deanna murphy#[month ended]
ryan leigh#kamila sulewska#candace rae#bethanie badertscher #[month ended]
chelsea grimland#jessica sutherland#ariana diabla#elle smith#elizabeth mendez
jamie bradford#jillian kaye#tiffany schlumbrecht#bree morgan#[month ended]
megan medellin#tali de'mar#ava hart#brandi bryant#amy varela
jesse lunderby#jengie beverly zaccheo#samantha buxton#cassandra dawn#[month ended]
holly jo#victoria nicole#reby sky #jessica king#[month ended]
amber kyler#alexandra rae#jelena timofejeva#erika mayshawn#brittany barbour
jessica gamboa#angela marie#titania lyn#rachel lorraine#[month ended]
rhian alise#kayleigh elizabeth#casey lauren#nadia marcella#[month ended]
jennifer vaughn#kristen pyles#logann brooke#chelsie loraine#jamie madison
amanda evans#vanessa robbins#mikaela james#karin noelle#[month ended]
