district#representative#party#residence#first elected#term limited
1#craig newbold#republican#columbiana#2010#2018
2#andrew brenner#republican#powell#2010#2018
3#ron amstutz#republican#wooster#2008#2016
4#matt huffman#republican#lima#2006#2014
5#gerald stebelton#republican#lancaster#2006#2014
6#randy gardner#republican#bowling green#2008 (appt)#2016
7#kenny yuko#democrat#richmond heights#2004#2012
8#armond budish#democrat#beachwood#2006#2014
9#barbara boyd#democrat#cleveland heights#2006#2014
10#bill patmon#democrat#cleveland#2010#2018
11#sandra williams#democrat#cleveland#2006#2014
12#john e. barnes , jr#democrat#cleveland#2010#2018
13#nickie antonio#democrat#lakewood#2010#2018
14#michael foley#democrat#cleveland#2006 (appt)#2014
15#timothy j. degeeter#democrat#parma#2003 (appt)#2012
16#nan baker#republican#westlake#2008#2016
17#marlene anielski#republican#walton hills#2010#2018
18#mike dovilla#republican#berea#2010#2018
19#anne gonzales#republican#westerville#2010#2018
20#nancy garland#democrat#new albany#2008#2016
21#mike duffey#republican#worthington#2010#2018
22#john patrick carney#democrat#clintonville#2008#2016
23#cheryl grossman#republican#grove city#2008#2016
24#ted celeste#democrat#grandview heights#2006#2014
25#michael stinziano#democrat#columbus#2010#2018
26#tracy maxwell heard#democrat#columbus#2006#2014
27#w. carlton weddington#democrat#columbus#2008#2016
28#connie pillich#democrat#montgomery#2008#2016
29#lou blessing#republican#cincinnati#2004#2012
30#louis terhar#republican#columbus#2011 (appt)#2020
31#denise driehaus#democrat#cincinnati#2008#2016
32#dale mallory#democrat#cincinnati#2006#2014
33#alicia reece#democrat#cincinnati#2010 (appt)#2018
34#peter stautberg#republican#anderson twp#2008#2016
35#ron maag#republican#lebanon#2008#2016
36#michael henne#republican#clayton#2010#2018
37#jim butler#republican#oakwood#2011 (appt)#2020
38#terry blair#republican#washington twp#2008#2016
39#clayton luckie#democrat#dayton#2006 (appt)#2014
40#roland winburn#democrat#harrison twp#2008#2016
41#lynn slaby#republican#copley#2010#2018
42#kristina roegner#republican#hudson#2010#2018
43#todd mckenney#republican#akron#2010#2018
44#vernon sykes#democrat#akron#2006#2014
45#zack milkovich#democrat#akron#2010#2018
46#barbara sears#republican#sylvania#2008 (appt)#2016
47#teresa fedor#democrat#toledo#2010#2018
48#michael ashford#democrat#toledo#2010#2018
49#matt szollosi#democrat#toledo#2006#2014
50#christina hagan#republican#marlboro township#2011 (appt)#2020
51#kirk schuring#republican#canton#2010#2018
52#stephen slesnick#democrat#canton#2008 (appt)#2016
53#timothy derickson#republican#hanover twp#2008#2016
54#courtney combs#republican#hamilton#2004 (appt)#2012
55#margaret conditt#republican#liberty township#2011 (appt)#2020
56#dan ramos#democrat#lorain#2010#2018
57#matt lundy#democrat#elyria#2006#2014
58#terry boose#republican#norwalk#2008#2016
59#ron gerberry#democrat#austintown#2007 (appt)#2016
60#bob hagan#democrat#youngstown#2006#2014
61#mark okey#democrat#carrollton#2006#2014
62#lorraine fende#democrat#willowick#2004#2012
63#ron young#republican#leroy township#2010#2018
64#tom letson#democrat#warren#2006#2014
65#sean o'brien#democrat#niles#2010#2018
66#joe uecker#republican#loveland#2004#2012
67#peter beck#republican#mason#2009 (appt)#2018
68#kathleen clyde#democrat#kent#2010#2018
69#william g. batchelder#republican#medina#2006#2014
70#jarrod martin#republican#beavercreek#2008#2016
71#jay hottinger#republican#newark#2006#2014
72#ross mcgregor#republican#springfield#2005 (appt)#2014
73#jay goyal#democrat#mansfield#2006#2014
74#bruce goodwin#republican#defiance#2006#2014
75#lynn wachtmann#republican#napoleon#2006#2014
76#robert sprague#republican#findlay#2011 (appt)#2020
77#jim buchy#republican#greenville#2011 (appt)#2020
78#john adams#republican#sidney#2006#2014
79#richard adams#republican#troy#2008#2016
80#dennis murray#democrat#sandusky#2008#2016
81#rex damschroder#republican#fremont#2010#2018
82#jeffrey mcclain#republican#upper sandusky#2008#2016
83#david burke#republican#marysville#2008#2016
84#bob hackett#republican#london#2008#2016
85#bob peterson#republican#sabina#2010#2018
86#cliff rosenberger#republican#clarksville#2010#2018
87#john carey#republican#wellston#2010#2018
88#danny bubp#republican#west union#2004#2012
89#terry johnson#republican#portsmouth#2010#2018
90#margaret ruhl#republican#mount vernon#2008#2016
91#bill hayes#republican#pataskala#2010#2018
92#debbie phillips#democrat#athens#2008#2016
93#andy thompson#republican#marietta#2010#2018
94#troy balderson#republican#muskingum#2008#2016
95#lou gentile#democrat#steubenville#2010#2018
96#al landis#republican#dover#2010#2018
97#dave hall#republican#killbuck#2008#2016
98#richard hollington#republican#chagrin falls#2011 (appt)#2020
