year#date#winner#result#loser#location
1970#september 27#new york jets#31 - 21#boston patriots#harvard stadium
1970#november 22#new york jets#17 - 3#boston patriots#shea stadium
1971#october 10#new england patriots#20 - 0#new york jets#schaefer stadium
1971#december 12#new york jets#13 - 6#new england patriots#shea stadium
1972#october 15#new york jets#41 - 13#new england patriots#schaefer stadium
1972#october 29#new york jets#34 - 10#new england patriots#shea stadium
1973#october 14#new york jets#9 - 7#new england patriots#schaefer stadium
1973#november 11#new york jets#33 - 13#new england patriots#shea stadium
1974#october 13#new england patriots#24 - 0#new york jets#shea stadium
1974#november 17#new york jets#21 - 16#new england patriots#schaefer stadium
1975#october 5#new york jets#36 - 7#new england patriots#shea stadium
1975#december 7#new york jets#30 - 28#new england patriots#schaefer stadium
1976#october 18#new england patriots#41 - 7#new york jets#schaefer stadium
1976#november 21#new england patriots#38 - 24#new york jets#shea stadium
1977#october 2#new york jets#30 - 27#new england patriots#shea stadium
1977#october 30#new england patriots#24 - 13#new york jets#schaefer stadium
1978#october 29#new england patriots#55 - 21#new york jets#schaefer stadium
1978#november 19#new england patriots#19 - 17#new york jets#shea stadium
1979#september 9#new england patriots#56 - 3#new york jets#schaefer stadium
1979#december 9#new york jets#27 - 26#new england patriots#shea stadium
