date#opponent#location#result#overall#conf
november 8 , 2001#arizona#new york , ny#l 67 - 71#0 - 1#0 - 0
november 9 , 2001#temple#new york , ny#w 82 - 74#1 - 1#0 - 0
november 17 , 2001#american#college park , md#w 83 - 53#2 - 1#0 - 0
november 24 , 2001#delaware state#college park , md#w 77 - 53#3 - 1#0 - 0
november 27 , 2001#illinois#college park , md#w 76 - 63#4 - 1#0 - 0
december 2 , 2001#princeton#washington , dc#w 61 - 53#5 - 1#0 - 0
december 3 , 2001#connecticut#washington , dc#w 77 - 65#6 - 1#0 - 0
december 9 , 2001#detroit#college park , md#w 79 - 54#7 - 1#0 - 0
december 11 , 2001#monmouth#college park , md#w 91 - 55#8 - 1#0 - 0
december 21 , 2001#oklahoma#norman , ok#l 56 - 72#8 - 2#0 - 0
december 30 , 2001#nc state#raleigh , nc#w 72 - 65#10 - 2#1 - 0
january 3 , 2002#norfolk state#college park , md#w 92 - 69#11 - 2#1 - 0
january 9 , 2002#north carolina#college park , md#w 112 - 79#12 - 2#2 - 0
january 13 , 2002#georgia tech#atlanta , ga#w 92 - 87#13 - 2#3 - 0
january 17 , 2002#duke#durham , nc#l 78 - 99#13 - 3#3 - 1
january 20 , 2002#clemson#college park , md#w 99 - 90#14 - 3#4 - 1
january 23 , 2002#wake forest#winston - salem , nc#w 85 - 63#15 - 3#5 - 1
january 26 , 2002#florida state#college park , md#w 84 - 63#16 - 3#6 - 1
january 31 , 2002#virginia#charlottesville , va#w 91 - 87#17 - 3#7 - 1
february 3 , 2002#nc state#college park , md#w 89 - 73#18 - 3#8 - 1
february 10 , 2002#north carolina#chapel hill , nc#w 92 - 77#19 - 3#9 - 1
february 13 , 2002#georgia tech#college park , md#w 85 - 65#20 - 3#10 - 1
february 17 , 2002#duke#college park , md#w 87 - 73#21 - 3#11 - 1
february 20 , 2002#clemson#clemson , sc#w 84 - 68#22 - 3#12 - 1
february 24 , 2002#wake forest#college park , md#w 90 - 89#23 - 3#13 - 1
february 27 , 2002#florida state#tallahassee , fl#w 96 - 63#24 - 3#14 - 1
march 3 , 2002#virginia#college park , md#w 112 - 92#25 - 3#15 - 1
march 8 , 2002#florida state#charlotte , nc#w 85 - 59#26 - 3#15 - 1
march 9 , 2002#nc state#charlotte , nc#l 82 - 86#26 - 4#15 - 1
march 15 , 2002#siena#washington , dc#w 85 - 70#27 - 4#15 - 1
march 17 , 2002#wisconsin#washington , dc#w 87 - 57#28 - 4#15 - 1
march 22 , 2002#kentucky#syracuse , ny#w 78 - 68#29 - 4#15 - 1
march 24 , 2002#connecticut#syracuse , ny#w 90 - 82#30 - 4#15 - 1
march 30 , 2002#kansas#atlanta , ga#w 97 - 88#31 - 4#15 - 1
april 1 , 2002#indiana#atlanta , ga#w 64 - 52#32 - 4#15 - 1
