performer#performances#category#first performance#last performance
charles anthony #2928#tenor#03 / 06 / 1954#01 / 28 / 2010
james levine #2441#conductor#06 / 05 / 1971#05 / 14 / 2011
george cehanovsky #2394#baritone#11 / 13 / 1926#04 / 16 / 1966
angelo badà #2170#tenor#11 / 16 / 1908#04 / 09 / 1938
paul franke #1980#tenor#12 / 01 / 1948#04 / 16 / 1987
louis d'angelo #1882#baritone#11 / 13 / 1917#02 / 15 / 1948
james courtney #1829#bass - baritone#11 / 29 / 1979#05 / 11 / 2012
andrea velis #1693#tenor#10 / 23 / 1961#02 / 24 / 1994
paul plishka #1642#bass#06 / 27 / 1967#01 / 28 / 2012
paolo ananian #1639#bass#11 / 14 / 1908#04 / 12 / 1935
giordano paltrinieri #1618#tenor#11 / 15 / 1918#04 / 23 / 1940
vincenzo reschiglian #1577#baritone#11 / 08 / 1909#05 / 07 / 1929
alessio de paolis #1555#tenor#12 / 03 / 1938#03 / 05 / 1964
thelma votipka #1422#soprano#12 / 16 / 1935#04 / 16 / 1966
russell christopher #1410#baritone#03 / 29 / 1963#04 / 20 / 1991
clifford harvuot #1297#baritone#03 / 15 / 1942#12 / 31 / 1975
antonio scotti #1213#baritone#11 / 15 / 1899#01 / 20 / 1933
pietro audisio #1193#tenor#11 / 09 / 1909#05 / 03 / 1924
robert nagy #1189#tenor#11 / 02 / 1957#04 / 16 / 1988
louis sgarro #1107#bass#11 / 16 / 1954#03 / 08 / 1975
léon rothier #1107#bass#12 / 10 / 1910#02 / 25 / 1939
gene boucher #1094#baritone#06 / 25 / 1965#03 / 17 / 1984
artur bodanzky #1088#conductor#11 / 18 / 1915#05 / 23 / 1939
gabor carelli #1079#tenor#11 / 17 / 1951#01 / 22 / 1974
albert reiss #1070#tenor#10 / 12 / 1901#04 / 14 / 1919
john macurdy #1001#bass#12 / 08 / 1962#05 / 06 / 2000
robert goodloe #984#baritone#03 / 23 / 1964#06 / 08 / 1982
lorenzo alvary #979#bass#11 / 26 / 1942#04 / 14 / 1978
bernard fitch #969#tenor#02 / 20 / 1989#05 / 11 / 2012
osie hawkins #962#baritone#01 / 22 / 1942#02 / 08 / 1986
fausto cleva #962#conductor#12 / 04 / 1938#06 / 08 / 1971
